county,num_of_indiv_A0,num_of_indiv_A1,num_of_indiv_A2,num_of_indiv_A3,num_of_indiv_A4,num_of_indiv_A5,num_of_indiv_A6,num_of_indiv_A7,num_of_indiv_A8,num_of_indiv_A9,num_of_indiv_A10,num_of_indiv_A11,num_of_indiv_A12,num_of_indiv_A13,num_of_indiv_A14,num_of_indiv_A15,num_of_indiv_A16,num_of_indiv_A17,num_of_indiv_A18,num_of_indiv_A19,num_of_indiv_A20,Grand Total
San Mateo,3174.416667,3009.166667,2971.416667,3053.25,2987.166667,3017.083333,3091,3239.083333,3142.166667,2967.416667,2819.25,2782.666667,2814.833333,2725.333333,2725.5,2705.5,2641.833333,2654.583333,2654.083333,2184.916667,2068.666667,2829.968254
Santa Barbara,4350.416667,3875.25,3684.083333,3662.833333,3746.083333,3707.333333,3828.25,3924.583333,3812.166667,3620.333333,3470.583333,3211.666667,3014.333333,2923.333333,2895,2800.666667,2767.833333,2722.75,2520.25,2088.416667,2039.166667,3269.777778
Santa Clara,8792.75,8303.583333,8289.833333,8233.25,8264.666667,8441.333333,8859.75,9211.583333,9112.666667,8753.916667,8300,8282.25,8308.833333,8274.916667,8175.583333,7851,7616.083333,7631.75,7495.833333,6308.25,6103.166667,8124.333333
Santa Cruz,1930.083333,1727.333333,1733.083333,1721.25,1718,1708.416667,1800.583333,1900.833333,1899.333333,1731.666667,1660.5,1654.833333,1568.333333,1529.583333,1436.833333,1413.25,1388.916667,1432.583333,1398.083333,1078.083333,1097.916667,1596.642857
Shasta,1583.666667,1483.166667,1382.916667,1319.916667,1354.416667,1338,1321,1430.916667,1321.166667,1248.5,1166.333333,1136.25,1163.583333,1144.666667,1122.75,1067.833333,1152.75,1083.666667,1115.583333,1000.25,917.25,1231.170635
Sierra,16.66666667,13,16.08333333,14.08333333,14.91666667,13.11111111,12.90909091,12.27272727,12.83333333,12.14285714,13.6,12.8,15.91666667,16.33333333,11,12,12.5,11.91666667,16.75,14.83333333,11.5,14.16022099
Siskiyou,351.75,358.3333333,368.5833333,359.3333333,341.8333333,348.6666667,350.6666667,350.25,348.3333333,332,330.0833333,299.3333333,293.3333333,275.6666667,280.9166667,282.75,297.5833333,275.5,270.9166667,240.3333333,226.3333333,313.452381
Solano,2735.75,2665.75,2612.5,2590.75,2649.666667,2673.5,2739.583333,2824.5,2707,2531.416667,2474.916667,2393.416667,2366.166667,2276.166667,2271.166667,2200.916667,2189.166667,2158.583333,2111.583333,1823.666667,1753,2416.626984
Sonoma,2943.416667,2729.583333,2686.833333,2689.5,2866.75,2957.75,3037.833333,3010.166667,3014.25,2878,2819.916667,2722.666667,2640.333333,2565.916667,2479.166667,2402.666667,2406.416667,2297.916667,2266,1785.833333,1697.666667,2614.218254
Stanislaus,5870.083333,5321.166667,5177,5197.083333,5299.833333,5285.083333,5448,5667,5561.916667,5316,5017.166667,4864.416667,4954.166667,4821.583333,4721.416667,4551.5,4506,4474.333333,4372.333333,4108.833333,3727.416667,4964.873016
Sutter,984.6666667,910.0833333,925.9166667,927.25,957.3333333,986.5833333,966.75,970.5,1003.5,921.8333333,916.6666667,894.8333333,886.75,851.75,829.8333333,791.8333333,779.3333333,769,759.5833333,650,589.25,870.1547619
Tehama,720.4166667,634.4166667,640,652.25,646.8333333,652.6666667,669.6666667,682,653.25,651.75,595.75,580.9166667,538.25,527.6666667,501.6666667,500.5833333,516.0833333,460.8333333,466,416.5833333,402.75,576.6825397
Trinity,90.83333333,99.58333333,108.1666667,76.58333333,82.41666667,84.83333333,79.91666667,83.75,95.25,85.5,83.16666667,84.25,89,85.83333333,74.25,70.41666667,78.75,79,82.16666667,81.08333333,59.41666667,83.53174603
Tulare,6700,6180.333333,6361.25,6442,6463.5,6555.083333,6625.583333,6759.25,6702.916667,6367.333333,6280.583333,6026.583333,5941.416667,5678.5,5682.083333,5454.833333,5276.083333,5271.833333,5048.583333,4125.75,3986.666667,5901.436508
Tuolumne,277,312.0833333,288.1666667,288.0833333,272.4166667,261.3333333,258.5833333,270.4166667,277.25,262.8333333,259.1666667,238.4166667,240.0833333,241.3333333,267.25,251.1666667,250,256,241.5,230.0833333,193.3333333,258.8809524
Ventura,5980.666667,5416.416667,5315.166667,5318.083333,5553.583333,5631.75,5816.416667,5911.5,5880.333333,5641.25,5341.75,5128.5,5017.666667,4844,4750.166667,4706.916667,4643.75,4565.416667,4389,3481.5,3400.833333,5082.603175
Yolo,1357.583333,1326.916667,1290.083333,1200.916667,1207.583333,1266.833333,1302.833333,1298.25,1323.75,1268.166667,1174,1186.25,1149.333333,1114.75,1143,1065.583333,1080.916667,1011,1018.666667,926.9166667,947.75,1174.337302
Yuba,816.9166667,715.1666667,699.5833333,708.5833333,730,696.25,737.0833333,751,729.9166667,705.75,690.1666667,641.9166667,656.8333333,619.6666667,597.4166667,591.5833333,602.4166667,595.4166667,556.3333333,503.9166667,482,658.4722222
Grand Total,5278.824638,5004.322108,4928.659357,4890.947368,4955.350877,5024.859031,5128.234261,5295.325037,5253.405605,4996.038292,4845.19174,4678.27566,4597.931287,4522.806167,4590.458457,4523.281065,4469.688427,4390.976608,4300.046784,3724.269679,3593.900593,4714.697749
