county,abortion_medicaid_expenditures,abortion_rs_count_total,abortion_rs_count_total_suppressed,daycare_slots_child_facility_capacity,daycare_slots_child_total_pop,daycare_slots_child_rate_slots,daycare_slots_child_num_facility,daycare_slots_child_pct_nonwhite,daycare_slots_infant_facility_capacity,daycare_slots_infant_total_pop,daycare_slots_infant_rate_slots,daycare_slots_infant_num_facility,daycare_slots_infant_pct_nonwhite,graduation_2019_cohort_size,dropout_rate_2019_cohort,ecigs_sold_pct_tobacco_stores_2016,ecigs_sold_pct_tobacco_stores_2013,povr_whole_total_estimate,adolescent_birth_abr,asthma_number_of_deaths,asthma_age_adjusted_mortality_rate,asthma_surpressed,infant_mortality_rate,std_chlamydia_rate,std_chlamydia_supressed,std_gonorrhea_rate,std_gonorrhea_supressed,std_population,std_syphilis_rate,std_syphilis_supressed,sui_adjusted_rate_avg,unemployment_rate,medicaid_sum_0_20,gini_coef,gini_suppressed
Inyo,1660.82,23.0,0.0,327.0,837.0,390.6810035842294,14.0,58.78136200716849,,655.0,,,57.40458015267176,812.0,48.2,0.69,0.2,31.2408512554893,0.0,0.0,0.0,0,0.0,295.1,0,21.5,1,18640,0.0,0,15.93,5.833333333333333,2305.08333333,0.43645,0.0
Kern,373915.27,4243.0,0.0,10807.0,57922.0,186.5785021235455,188.0,74.90418148544595,578.0,43784.0,13.201169376941344,31.0,75.41110908094282,14224.0,8.0,0.62,0.42,48.1563215855598,35.6,22.0,9.3,0,6.1,692.5,0,174.9,0,883494,28.6,0,13.57,10.283333333333331,190417.41667,0.4609,0.0
Kings,12667.67,234.0,0.0,1731.0,10207.0,169.5894974037425,42.0,76.18301165866563,65.0,7782.0,8.352608583911591,4.0,75.93163711128243,2293.0,7.5,0.66,0.22,49.3584848599403,32.0,6.0,,1,4.7,395.8,0,112.8,0,149832,26.7,0,11.105,10.575,27934.7500003,0.4391,0.0
Lake,8858.93,392.0,0.0,583.0,2959.0,197.0260223048328,20.0,45.35315985130112,78.0,2181.0,35.76341127922969,3.0,46.53828519027968,750.0,11.7,0.62,0.47,49.1764668689934,30.7,,,1,0.0,390.3,0,229.9,0,64815,6.2,1,26.62,7.633333333333334,11484.750000200002,0.48285,0.0
Lassen,1405.71,98.0,0.0,344.0,1255.0,274.10358565737056,11.0,29.482071713147405,22.0,990.0,22.222222222222225,2.0,33.03030303030303,298.0,5.7,0.81,0.48,30.656264341441,0.0,0.0,0.0,0,0.0,252.0,0,29.1,1,30958,3.2,1,22.505,7.275,3116.5000001,0.44875,0.0
Los Angeles,6451591.05,37817.0,0.0,160580.0,516583.0,310.85033769984693,2641.0,83.36898426777498,9823.0,388055.0,25.31342206645965,430.0,83.62500161059644,120444.0,10.6,0.48,0.36,40.4907864379328,17.1,305.0,9.8,0,4.3,561.3,0,173.0,0,10179482,34.2,0,7.695,6.683333333333334,1556872.58334,0.4992,0.0
Madera,53610.21,401.0,0.0,1781.0,9748.0,182.7041444398851,50.0,80.1702913418137,70.0,7077.0,9.89119683481701,5.0,81.06542320192169,2239.0,12.7,0.69,0.32,50.7350443937703,35.7,6.0,,1,5.2,473.7,0,102.7,0,154753,16.8,0,13.235,10.566666666666666,35061.41666800001,0.4503,0.0
Marin,137681.55,936.0,0.0,6131.0,11915.0,514.5614771296684,122.0,38.94250944187999,339.0,8078.0,41.96583312701165,17.0,42.51052240653625,2645.0,5.3,0.6,0.46,19.5461701146501,7.5,,,1,2.2,257.2,0,62.7,0,261669,9.9,0,12.215,3.575,16595.750000000004,0.5315,0.0
Mariposa,1547.72,34.0,0.0,123.0,634.0,194.006309148265,6.0,30.283911671924287,,462.0,,,27.92207792207792,160.0,1.3,0.42,0.29,32.0517916974275,0.0,0.0,0.0,0,0.0,182.4,0,49.8,1,18088,11.1,1,32.72,7.274999999999999,1756.6666667,0.4612,0.0
Mendocino,53800.14,675.0,0.0,1226.0,4299.0,285.1826006047919,37.0,53.84973249592929,36.0,3178.0,11.32787916928886,3.0,53.39836375078668,1018.0,11.5,0.63,0.44,44.3866871336869,24.7,,,1,9.4,433.9,0,103.1,0,88264,9.1,1,22.615,5.866666666666667,16427.083333300005,0.4966,0.0
Merced,26036.33,661.0,0.0,3285.0,18077.0,181.7226309675278,76.0,81.42390883443049,259.0,12994.0,19.93227643527782,16.0,81.40680313991075,4554.0,7.2,0.54,0.4,54.6398945654702,29.4,16.0,21.6,0,4.0,415.4,0,125.2,0,269870,9.6,0,10.4205,11.433333333333332,66593.916664,0.4653,0.0
Modoc,507.09,15.0,0.0,173.0,422.0,409.9526066350711,7.0,31.990521327014207,24.0,317.0,75.70977917981072,2.0,30.283911671924287,92.0,5.4,0.64,0.09,44.8070883804397,0.0,,,1,0.0,105.2,1,0.0,0,9510,0.0,0,0.0,8.658333333333333,1241.25000002,0.4663,0.0
Mono,284.8,11.0,0.0,184.0,708.0,259.88700564971754,7.0,55.64971751412431,52.0,533.0,97.5609756097561,3.0,57.22326454033775,310.0,31.3,0.41,0.21,33.8557993730408,0.0,,,1,0.0,231.2,0,14.5,1,13841,14.5,1,0.0,6.2,1685.9166666699998,0.4612,0.0
Monterey,160011.2,1162.0,0.0,5455.0,26146.0,208.63612024783905,126.0,84.15818863306048,357.0,19529.0,18.280505914281324,20.0,84.5563008858621,5651.0,11.5,0.52,0.31,42.3205252394791,28.1,19.0,14.2,0,5.3,410.9,0,70.1,0,435342,12.9,0,9.1435,8.258333333333333,88668.583331,0.4598,0.0
Napa,71130.79,406.0,0.0,1996.0,6676.0,298.98142600359495,52.0,64.97902935889755,109.0,4741.0,22.9909301835056,5.0,66.06201223370599,1689.0,7.8,0.67,0.55,28.1789455205103,12.5,,,1,3.7,313.8,0,53.8,0,141183,7.8,1,10.9645,4.65,14766.249999900005,0.4734,0.0
Nevada,5166.2,232.0,0.0,1097.0,3629.0,302.2871314411684,30.0,24.13888123449986,108.0,2564.0,42.12168486739471,5.0,27.45709828393137,1959.0,48.1,0.72,0.49,29.902191483702,0.0,,,1,0.0,229.4,0,44.9,0,98067,3.1,1,18.185,5.458333333333333,9501.499999900005,0.46385,0.0
Orange,1058066.55,6842.0,0.0,51563.0,157120.0,328.175916496945,761.0,71.04951629327903,3818.0,113361.0,33.68001340849146,165.0,72.3441042333783,40929.0,5.1,0.69,0.57,29.7343072218516,12.3,55.0,5.5,0,3.1,359.7,0,73.4,0,3162622,14.4,0,9.4995,4.516666666666667,390489.41666,0.4703,0.0
Placer,134154.44,789.0,0.0,5147.0,17627.0,291.9952345833096,99.0,35.61014352981221,689.0,12064.0,57.11206896551724,29.0,36.8120026525199,5947.0,6.3,0.88,0.55,21.9079471165634,7.6,11.0,,1,3.9,258.2,0,48.0,0,370973,6.2,0,11.275,5.1000000000000005,27030.5833334,0.441,0.0
Plumas,1044.07,43.0,0.0,236.0,748.0,315.5080213903745,9.0,26.069518716577544,12.0,534.0,22.471910112359552,1.0,27.34082397003745,171.0,15.2,0.57,0.39,35.6900543858704,0.0,,,1,0.0,341.9,0,25.5,1,19598,0.0,0,18.66,10.416666666666666,2067.58333334,0.4663,0.0
Riverside,759009.13,5662.0,0.0,24073.0,133445.0,180.39641799992503,364.0,75.85746936940313,1952.0,95543.0,20.43059146143621,79.0,76.14581915995939,33422.0,4.6,0.7,0.6,38.7488951741206,19.7,61.0,8.5,0,4.5,420.4,0,92.9,0,2331960,17.7,0,10.79,6.733333333333333,398905.83334,0.4492,0.0
Sacramento,662075.55,6244.0,0.0,22825.0,81973.0,278.44534175887185,420.0,66.43650958242347,2849.0,59821.0,47.62541582387456,122.0,66.69731365239632,18859.0,8.7,0.79,0.62,37.7062683426546,16.7,66.0,14.1,0,5.2,565.6,0,192.9,0,1488600,22.6,0,13.025,6.033333333333334,230799.833343,0.4558,0.0
San Benito,17959.05,112.0,0.0,859.0,3417.0,251.3901082821188,20.0,77.69973661106232,29.0,2348.0,12.350936967632029,3.0,78.87563884156728,866.0,5.7,0.6,0.49,31.015556720853,18.9,,,1,0.0,286.5,0,128.5,0,57587,12.2,1,11.24,7.608333333333333,8948.25,0.4304,0.0
San Bernardino,1285805.76,8998.0,0.0,22914.0,128387.0,178.47601392664373,395.0,79.42237142389804,1901.0,94281.0,20.163129368589644,84.0,79.11456178869548,31841.0,9.5,0.65,0.5,42.648151440484,24.5,73.0,12.5,0,6.2,519.7,0,129.6,0,2128499,11.4,0,10.435,6.491666666666666,408095.66665,0.4445,0.0
San Diego,989643.24,7066.0,0.0,53599.0,161978.0,330.9029621306598,859.0,66.88871328205065,4549.0,122267.0,37.20546018140626,198.0,66.73182461334619,40773.0,8.3,0.71,0.54,32.7457692042162,15.9,69.0,6.5,0,3.9,531.7,0,112.7,0,3274141,25.7,0,12.39,5.241666666666666,379895.91668,0.4589,0.0
San Francisco,389019.51,3291.0,0.0,14329.0,26130.0,548.3735170302334,278.0,68.60696517412936,1316.0,22409.0,58.726404569592574,51.0,63.57713418715695,5983.0,31.4,0.38,0.24,27.3924231870598,7.5,23.0,6.8,0,2.8,886.4,0,518.6,0,864783,142.3,0,8.8095,3.675,58822.50000199998,0.5208,0.0
San Joaquin,275769.3,4005.0,0.0,10092.0,44461.0,226.9854479206496,218.0,79.28746541913138,828.0,31806.0,26.03282399547256,37.0,79.6579261774508,12031.0,9.1,0.69,0.46,41.6889574809316,21.7,31.0,15.4,0,5.4,488.1,0,171.7,0,728110,27.2,0,10.685,8.941666666666666,136019.99999799998,0.452,0.0
San Luis Obispo,65447.47,308.0,0.0,3512.0,10991.0,319.5341643162588,89.0,46.2014375398053,205.0,7845.0,26.131293817718284,9.0,46.69216061185469,2926.0,4.3,0.89,0.69,31.831225503906,11.8,6.0,,1,4.8,391.6,0,61.1,0,276534,6.9,0,16.240000000000002,4.775,26411.4166664,0.4658,0.0
San Mateo,209533.35,2378.0,0.0,14799.0,37173.0,398.1115325639576,260.0,68.53361310628681,1171.0,27690.0,42.28963524738175,39.0,70.27807872878296,7133.0,6.8,0.54,0.31,20.8467205160061,10.3,33.0,11.2,0,3.1,310.8,0,70.5,0,764711,12.7,0,7.2010000000000005,3.45,59429.33333400001,0.4859,0.0
Santa Barbara,146329.56,702.0,0.0,6425.0,22120.0,290.46112115732376,149.0,73.26853526220611,446.0,16335.0,27.303336394245484,19.0,74.55157636975822,5221.0,9.4,0.74,0.44,37.512504008462,19.1,6.0,,1,4.6,515.4,0,75.6,0,444491,13.9,0,11.935,5.333333333333333,68665.33333200001,0.4811,0.0
Santa Clara,707896.94,3684.0,0.0,41281.0,100993.0,408.7511015614944,602.0,78.01035715346607,3808.0,73761.0,51.62619812638116,130.0,79.37392388931822,21276.0,9.0,0.59,0.47,22.6856010891097,10.6,67.0,11.1,0,3.3,352.9,0,93.0,0,1918777,11.8,0,7.470000000000001,4.191666666666666,170610.999999,0.4629,0.0
Santa Cruz,156590.6,790.0,0.0,3544.0,12167.0,291.27969096737075,97.0,62.13528396482289,384.0,8907.0,43.11215897608624,23.0,62.72594588525877,3235.0,12.3,0.57,0.34,32.0439468678965,12.3,,,1,4.3,356.2,0,65.9,0,274563,18.6,0,15.165,7.533333333333332,33529.49999699999,0.4833,0.0
Shasta,70095.63,1340.0,0.0,2719.0,8315.0,326.9993986770896,70.0,29.368610944076952,235.0,6102.0,38.51196329072436,12.0,29.40019665683383,2211.0,8.7,0.75,0.41,40.68553212971,21.7,6.0,,1,4.4,362.2,0,205.2,0,178365,6.7,0,22.655,7.824999999999999,25854.583335,0.4584,0.0
Sierra,507.09,,1.0,30.0,108.0,277.7777777777778,1.0,19.444444444444443,,92.0,,,27.17391304347826,23.0,0.0,0.0,0.17,30.625208960214,0.0,0.0,0.0,0,0.0,95.3,1,95.3,1,3149,0.0,0,0.0,8.799999999999999,287.16911976,0.4638,0.0
Siskiyou,1578.46,165.0,0.0,663.0,2004.0,330.83832335329345,22.0,34.7804391217565,56.0,1478.0,37.889039242219205,4.0,37.07713125845737,470.0,6.8,0.66,0.43,46.8796724403653,0.0,,,1,0.0,211.3,0,18.0,1,44491,0.0,0,21.915,9.433333333333335,6582.4999998,0.45845,0.0
Solano,272060.71,2642.0,0.0,4135.0,21735.0,190.246146767886,93.0,72.85024154589374,399.0,15978.0,24.97183627487797,15.0,73.31330579546876,4880.0,12.3,0.76,0.6,29.5545094104822,15.0,20.0,14.4,0,5.7,565.8,0,159.8,0,429272,16.5,0,11.11,6.166666666666667,50749.166669,0.425,0.0
Sonoma,170796.0,1952.0,0.0,6139.0,23097.0,265.79209421136954,145.0,56.43590076633328,286.0,16540.0,17.29141475211609,17.0,57.79322853688028,5363.0,11.8,0.72,0.61,29.1992805004574,10.8,12.0,5.9,0,3.0,377.9,0,88.4,0,500919,15.4,0,11.989999999999998,4.508333333333334,54898.583335,0.4657,0.0
Stanislaus,345628.18,2536.0,0.0,6347.0,32313.0,196.4224924952805,128.0,69.58809148020921,513.0,23638.0,21.702343683898803,30.0,69.78593789660718,8504.0,9.5,0.69,0.58,44.0032445990466,25.2,20.0,13.0,0,5.1,468.2,0,140.1,0,537608,20.6,0,10.35,9.55,104262.333333,0.4485,0.0
Sutter,70620.3,469.0,0.0,1428.0,5895.0,242.23918575063607,33.0,63.935538592027136,119.0,4202.0,28.31984769157544,7.0,65.23084245597335,1873.0,10.0,0.71,0.59,43.5211357405479,20.7,6.0,,1,5.8,320.6,0,98.3,0,97617,3.1,1,15.02,10.758333333333333,18273.24999980001,0.4511,0.0
Tehama,6886.41,224.0,0.0,765.0,3539.0,216.16275784119804,25.0,44.22153150607515,74.0,2587.0,28.60456126787785,4.0,45.72864321608039,705.0,4.7,0.72,0.5,46.0405895764426,29.7,0.0,0.0,0,4.6,309.5,0,114.1,0,63977,1.6,1,17.32,7.949999999999999,12110.333333399998,0.4632,0.0
Trinity,0.0,73.0,0.0,109.0,535.0,203.73831775700927,5.0,27.66355140186916,,335.0,,,25.671641791044767,145.0,15.2,0.48,0.1,44.0106544901065,0.0,0.0,0.0,0,0.0,191.7,0,88.5,0,13562,0.0,0,43.87,7.858333333333334,1754.1666667000002,0.4751,0.0
Tulare,53036.76,585.0,0.0,5719.0,33044.0,173.07226727999037,117.0,81.99975789855951,133.0,24589.0,5.408922689007281,5.0,82.99239497336207,7540.0,7.4,0.64,0.44,55.4200778029379,36.0,15.0,12.0,0,6.2,465.4,0,144.5,0,464337,11.0,0,10.71,11.7,123930.166664,0.4772,0.0
Tuolumne,2754.9,81.0,0.0,652.0,1956.0,333.33333333333326,18.0,25.76687116564417,37.0,1345.0,27.509293680297404,3.0,25.35315985130112,521.0,7.5,0.73,0.4,32.9414326148487,0.0,6.0,,1,8.7,188.9,0,62.4,0,54529,9.2,1,16.535,7.075,5436.4999999,0.4612,0.0
Ventura,195961.16,1913.0,0.0,13616.0,45414.0,299.819438939534,217.0,68.9148720658828,1040.0,32452.0,32.0473314433625,35.0,70.5657586589424,10829.0,6.0,0.69,0.51,28.1986832211918,16.6,24.0,8.7,0,3.9,318.0,0,72.9,0,852199,6.2,0,10.855,5.675,106734.666668,0.4404,0.0
Yolo,45289.57,671.0,0.0,3411.0,10130.0,336.7226061204343,73.0,64.26456071076011,302.0,7372.0,40.96581660336408,19.0,65.50461204557784,2342.0,6.7,0.74,0.46,39.5880880604726,8.9,,,1,4.7,384.3,0,88.8,0,212850,15.5,0,10.4925,6.491666666666667,24661.0833327,0.4815,0.0
Yuba,7417.3,252.0,0.0,964.0,4949.0,194.78682562133764,20.0,55.02121640735504,43.0,3736.0,11.509635974304064,3.0,55.139186295503215,987.0,17.0,0.72,0.49,45.9651646998603,28.8,,,1,7.5,359.9,0,107.2,0,75579,0.0,0,17.06,9.358333333333334,13827.916666799998,0.44015,0.0
