county,povr_whole_white_estimate,povr_whole_cont_native_estimate,povr_whole_asian_estimate,povr_whole_black_estimate,povr_whole_latine_estimate,povr_whole_island_native_estimate,povr_whole_multiracial_estimate,povr_whole_other_race_estimate,povr_whole_total_estimate,povr_kids_asian_estimate,povr_kids_cont_native_estimate,povr_kids_black_estimate,povr_kids_latine_estimate,povr_kids_island_native_estimate,povr_kids_white_estimate,povr_kids_multiracial_estimate,povr_kids_other_race_estimate,povr_kids_total_estimate
Placer,18.8052278681488,24.9813571961223,16.7217780754259,28.2251437962202,40.5772182990482,,22.4721724916323,,21.9079471165634,14.8405698778833,25.414364640884,27.0793036750484,45.7578303132125,100.0,19.7201502695051,19.4143342501213,100.0,24.6170112781955
Plumas,32.4421919543871,,,,50.8294625082946,,,,35.6900543858704,,,,,,,,,
Riverside,25.2354590971747,45.3220169745382,27.6123815577466,39.9717439025317,51.0396621966986,58.6630286493861,32.8020289533119,39.019437191761,38.7488951741206,25.4948563320326,64.968623108158,53.1278735206004,59.3632968848923,42.4646781789639,28.9969353212571,32.9106651893799,25.7918552036199,48.9530575284496
Sacramento,28.1826150367189,36.3432237369687,37.8320338770796,50.2979773210278,51.2709146724951,46.5004133370074,41.0750065336702,44.8345849401258,37.7062683426546,45.7454262358895,38.1170018281536,66.1726534371599,58.5974619066438,70.005136106831,35.7842297939649,44.0090179696307,62.3672230652504,48.6279617569627
San Benito,18.9898217613609,,22.0125786163522,,39.4743187846636,,25.3306205493388,,31.015556720853,,,,,,,,,
San Bernardino,30.1587725821336,49.4194484760523,27.6216784666884,48.7001023541453,51.3601681860195,47.6808611682761,37.7423885465748,43.2403718459495,42.648151440484,30.1276161306789,44.1230769230769,62.6599876423338,62.3560980308514,48.7423521414004,37.4402306191849,40.4064779064779,38.8223552894212,54.8948781266041
San Diego,22.7635001377184,35.474784189005,23.6748327133394,40.6372395561585,49.3721368903261,34.0261328035455,27.8444750374539,30.7137573964497,32.7457692042162,26.4463172039085,46.3467829880044,54.2758683232067,58.5800450112528,50.9861212563915,24.2085538100859,26.2107669923093,38.9083275017495,41.8686829104639
San Francisco,17.6078156647448,44.4367176634214,30.8780793693452,49.7897373440265,38.0887829228034,53.3170284316723,23.4807956104252,41.2005108556833,27.3924231870598,29.7264577868734,60.0,65.2816386247257,43.9315333055629,97.289156626506,8.89355322338831,13.2952045754509,48.3682008368201,28.0363718868353
San Joaquin,25.901989292948,41.0267857142857,42.3482232593315,50.2023228854524,53.8869807321842,29.3392070484581,38.8405314230977,42.1215242018538,41.6889574809316,51.3707280832095,36.741214057508,65.4581673306773,61.628152267715,42.8844317096466,30.6384145923335,46.385600154009,8.33333333333333,52.7017677552617
San Luis Obispo,26.0906354242942,36.751269035533,32.5081120057685,47.6162620649313,49.2630365687541,,30.6530214424951,,31.831225503906,27.0671834625323,65.3179190751445,58.1818181818182,55.7815902692941,,25.7731958762887,24.9197860962567,,37.2882354095915
San Mateo,12.0748664160558,39.4581861012956,14.431107943621,38.7443089202406,39.8686689158268,36.8353682552186,13.1513065248005,34.0190476190476,20.8467205160061,12.9454707570565,51.9823788546256,47.3594548551959,49.3806143146914,55.4283604135894,10.1991539338214,11.4033064206075,29.0066225165563,25.785826810417
Santa Barbara,22.5363597201994,49.7055359246172,31.4362272240086,38.9485145434749,54.0097997649344,30.5243445692884,29.9412694827197,,37.512504008462,37.2283576772355,33.8461538461538,44.8040885860307,63.4669501594647,43.0232558139535,20.9444978198212,23.0684931506849,,49.2938238654171
Santa Clara,13.4668948567999,27.0481927710843,17.4081883336074,31.6745326670368,40.789957885268,32.2816718165555,16.6436535607028,19.550820616182,22.6856010891097,14.6363451304272,18.7341772151899,34.3425877422734,47.9638182480213,42.0765027322404,9.84018514287984,12.0662197696382,16.5322580645161,25.8770244114621
Santa Cruz,21.5639779467482,,32.1448222735776,34.2597029228558,51.1858078756428,,28.7846481876333,,32.0439468678965,23.286467486819,100.0,41.1214953271028,60.7334652345958,89.8305084745763,19.6984924623116,17.8571428571429,9.64912280701754,41.3738223726333
Shasta,38.1970538820298,42.4049017104927,44.3914081145585,62.7376425855513,56.30357254583,,49.4236538765198,,40.68553212971,27.8019113814075,53.5557506584723,84.7589424572317,64.5521746604779,,49.660432177229,54.81220657277,,52.2772328209881
Sierra,29.9733739064283,,,,,,,,30.625208960214,,,,,,,,,
Siskiyou,42.2350764894148,79.3478260869565,46.4831804281346,58.3333333333333,67.1116504854369,,49.7393117831074,,46.8796724403653,,,,,,,,,
Solano,20.3094369213138,44.7236180904523,20.3599967713294,41.6098735926209,42.5929803190072,29.2326067482831,33.0097515774611,21.3953488372093,29.5545094104822,24.6846379816831,100.0,53.412318428954,50.5942969303746,43.0272108843537,28.1772668273688,33.3530106257379,63.9024390243902,40.0291725332496
Sonoma,21.1493272692818,43.6480849450133,25.5906144533133,33.3436008008625,48.9724831788752,31.6810344827586,30.1919145287872,53.505092869982,29.1992805004574,36.9505494505495,73.1132075471698,39.8981324278438,54.1816854496509,64.5348837209302,20.88957781653,31.0683951721055,44.888023369036,36.9653480288588
Stanislaus,31.8941504178273,59.504132231405,35.6600414229134,47.569803516029,57.0552254686043,63.4344528710726,38.8156898379524,20.4741379310345,44.0032445990466,42.9073140937548,68.2487725040916,53.9975772259237,64.5480730319693,56.9047619047619,39.2453167613001,53.1517806132165,,54.9793656570373
Sutter,29.7631081615611,34.7957639939486,51.4030795797957,39.1990975747321,62.9853630605161,,41.1870043489384,,43.5211357405479,,,,,,,,,
Tehama,41.2678908685462,44.4852941176471,65.9438775510204,,57.5493852742091,,62.1621621621622,,46.0405895764426,,,,,,,,,
Trinity,44.3302718923343,,,,30.5921052631579,,,,44.0106544901065,,,,,,,,,
Tulare,32.0004069264698,60.1022146507666,45.1653064047586,59.50643030935,67.6390754021543,,43.6928995031255,,55.4200778029379,49.9105545617174,64.5054945054945,78.9287816362566,74.814479387112,96.5034965034965,38.6758415473312,48.7090558766859,24.124513618677,66.9341626634826
Tuolumne,30.6594741020971,53.6856745479833,53.3751962323391,51.864406779661,43.6654878302476,,44.0917107583774,,32.9414326148487,,,,,,,,,
Ventura,15.5021973774805,35.4119253527538,16.2731609513274,30.4755266418835,44.9193674651636,15.6433978132885,20.9068010075567,21.1048158640227,28.1986832211918,20.8806684818327,56.6037735849057,35.1551644279759,53.5753989443185,85.5670103092783,15.4003860946081,16.5512693702605,8.04878048780488,37.444534333554
Yolo,30.1541465419792,,50.2901505646173,56.0235294117647,48.4066091496609,42.7795874049946,41.1893669498493,,39.5880880604726,36.3891726251277,,72.1476510067114,53.1585047812228,31.2849162011173,24.452707970971,26.2369791666667,28.5714285714286,39.5898291686795
Yuba,38.773773043436,39.3243243243243,45.2474469756481,47.0142602495544,61.9146076708364,,48.9274447949527,,45.9651646998603,,,,,,,,,
