Reporting Period,County,Age,Number of Eligible Individuals
2015-01,Fresno,1,12174
2015-01,Fresno,2,12076
2015-01,Fresno,3,11835
2015-01,Fresno,4,11965
2015-01,Fresno,5,11886
2015-01,Fresno,6,12099
2015-01,Fresno,7,12270
2015-01,Fresno,8,11830
2015-01,Fresno,9,11064
2015-01,Fresno,10,10821
2015-01,Fresno,11,10419
2015-01,Fresno,12,10023
2015-01,Fresno,13,9791
2015-01,Fresno,14,9819
2015-01,Fresno,15,9376
2015-01,Fresno,16,9700
2015-01,Fresno,17,9133
2015-01,Fresno,18,9041
2015-01,Fresno,19,7553
2015-01,Fresno,20,7476
2015-01,Glenn,0,362
2015-01,Glenn,1,298
2015-01,Glenn,2,260
2015-01,Glenn,3,273
2015-01,Glenn,4,272
2015-01,Glenn,5,332
2015-01,Glenn,6,319
2015-01,Glenn,7,305
2015-01,Glenn,8,322
2015-01,Glenn,9,310
2015-01,Glenn,10,274
2015-01,Glenn,11,274
2015-01,Glenn,12,252
2015-01,Glenn,13,257
2015-01,Glenn,14,270
2015-01,Glenn,15,248
2015-01,Glenn,16,293
2015-01,Glenn,17,229
2015-01,Glenn,18,234
2015-01,Glenn,19,177
2015-01,Glenn,20,175
2015-01,Humboldt,0,1184
2015-01,Humboldt,1,1105
2015-01,Humboldt,2,1012
2015-01,Humboldt,3,952
2015-01,Humboldt,4,983
2015-01,Humboldt,5,947
2015-01,Humboldt,6,994
2015-01,Humboldt,7,958
2015-01,Humboldt,8,957
2015-01,Humboldt,9,940
2015-01,Humboldt,10,885
2015-01,Humboldt,11,808
2015-01,Humboldt,12,769
2015-01,Humboldt,13,806
2015-01,Humboldt,14,722
2015-01,Humboldt,15,740
2015-01,Humboldt,16,723
2015-01,Humboldt,17,733
2015-01,Humboldt,18,720
2015-01,Humboldt,19,673
2015-01,Humboldt,20,644
2015-01,Imperial,0,2358
2015-01,Imperial,1,1958
2015-01,Imperial,2,1952
2015-01,Imperial,3,1940
2015-01,Imperial,4,1924
2015-01,Imperial,5,2041
2015-01,Imperial,6,2005
2015-01,Imperial,7,1966
2015-01,Imperial,8,1949
2015-01,Imperial,9,1924
2015-01,Imperial,10,1821
2015-01,Imperial,11,1820
2015-01,Imperial,12,1781
2015-01,Imperial,13,1743
2015-01,Imperial,14,1791
2015-01,Imperial,15,1712
2015-01,Imperial,16,1696
2015-01,Imperial,17,1728
2015-01,Imperial,18,1666
2015-01,Imperial,19,1397
2015-01,Imperial,20,1280
2015-01,Inyo,0,147
2015-01,Inyo,1,140
2015-01,Inyo,2,121
2015-01,Inyo,3,132
2015-01,Inyo,4,104
2015-01,Inyo,5,135
2015-01,Inyo,6,114
2015-01,Inyo,7,114
2015-01,Inyo,8,133
2015-01,Inyo,9,118
2015-01,Inyo,10,112
2015-01,Inyo,11,107
2015-01,Inyo,12,96
2015-01,Inyo,13,97
2015-01,Inyo,14,87
2015-01,Inyo,15,119
2015-01,Inyo,16,97
2015-01,Inyo,17,91
2015-01,Inyo,18,106
2015-01,Inyo,19,86
2015-01,Inyo,20,74
2015-01,Kern,0,11029
2015-01,Kern,1,9920
2015-01,Kern,2,9955
2015-01,Kern,3,9647
2015-01,Kern,4,9681
2015-01,Kern,5,9906
2015-01,Kern,6,10137
2015-01,Kern,7,9898
2015-01,Kern,8,9775
2015-01,Kern,9,9087
2015-01,Kern,10,8838
2015-01,Kern,11,8610
2015-01,Kern,12,8359
2015-01,Kern,13,8116
2015-01,Kern,14,8010
2015-01,Kern,15,7795
2015-01,Kern,16,7639
2015-01,Kern,17,7546
2015-01,Kern,18,7332
2015-01,Kern,19,6418
2015-01,Kern,20,6109
2015-01,Kings,0,1586
2015-01,Kings,1,1438
2015-01,Kings,2,1434
2015-01,Kings,3,1493
2015-01,Kings,4,1412
2015-01,Kings,5,1508
2015-01,Kings,6,1631
2015-01,Kings,7,1518
2015-01,Kings,8,1502
2015-01,Kings,9,1400
2015-01,Kings,10,1346
2015-01,Kings,11,1250
2015-01,Kings,12,1283
2015-01,Kings,13,1217
2015-01,Kings,14,1170
2015-01,Kings,15,1207
2015-01,Kings,16,1119
2015-01,Kings,17,1119
2015-01,Kings,18,1109
2015-01,Kings,19,949
2015-01,Kings,20,823
2015-01,Lake,0,649
2015-01,Lake,1,636
2015-01,Lake,2,611
2015-01,Lake,3,571
2015-01,Lake,4,589
2015-01,Lake,5,588
2015-01,Lake,6,573
2015-01,Lake,7,605
2015-01,Lake,8,593
2015-01,Lake,9,572
2015-01,Lake,10,512
2015-01,Lake,11,495
2015-01,Lake,12,506
2015-01,Lake,13,486
2015-01,Lake,14,516
2015-01,Lake,15,512
2015-01,Lake,16,491
2015-01,Lake,17,475
2015-01,Lake,18,514
2015-01,Lake,19,463
2015-01,Lake,20,363
2015-01,Lassen,0,205
2015-01,Lassen,1,192
2015-01,Lassen,2,161
2015-01,Lassen,3,172
2015-01,Lassen,4,161
2015-01,Lassen,5,167
2015-01,Lassen,6,154
2015-01,Lassen,7,155
2015-01,Lassen,8,151
2015-01,Lassen,9,153
2015-01,Lassen,10,146
2015-01,Lassen,11,128
2015-01,Lassen,12,142
2015-01,Lassen,13,132
2015-01,Lassen,14,117
2015-01,Lassen,15,116
2015-01,Lassen,16,141
2015-01,Lassen,17,122
2015-01,Lassen,18,120
2015-01,Lassen,19,106
2015-01,Lassen,20,122
2015-01,Los Angeles,0,82296
2015-01,Los Angeles,1,75398
2015-01,Los Angeles,2,74816
2015-01,Los Angeles,3,73766
2015-01,Los Angeles,4,75037
2015-01,Los Angeles,5,77512
2015-01,Los Angeles,6,79193
2015-01,Los Angeles,7,80116
2015-01,Los Angeles,8,77807
2015-01,Los Angeles,9,73855
2015-01,Los Angeles,10,72982
2015-01,Los Angeles,11,71160
2015-01,Los Angeles,12,70556
2015-01,Los Angeles,13,70465
2015-01,Los Angeles,14,72238
2015-01,Los Angeles,15,71277
2015-01,Los Angeles,16,71451
2015-01,Los Angeles,17,72839
2015-01,Los Angeles,18,71719
2015-01,Los Angeles,19,64200
2015-01,Los Angeles,20,57962
2015-01,Madera,0,2049
2015-01,Madera,1,1883
2015-01,Madera,2,1793
2015-01,Madera,3,1836
2015-01,Madera,4,1845
2015-01,Madera,5,1785
2015-01,Madera,6,1909
2015-01,Madera,7,1894
2015-01,Madera,8,1952
2015-01,Madera,9,1673
2015-01,Madera,10,1739
2015-01,Madera,11,1623
2015-01,Madera,12,1603
2015-01,Madera,13,1610
2015-01,Madera,14,1538
2015-01,Madera,15,1469
2015-01,Madera,16,1444
2015-01,Madera,17,1470
2015-01,Madera,18,1392
2015-01,Madera,19,1205
2015-01,Madera,20,1093
2015-01,Marin,0,951
