Reporting Period,County,Age,Number of Eligible Individuals
2015-02,Santa Cruz,13,1529
2015-02,Santa Cruz,14,1373
2015-02,Santa Cruz,15,1442
2015-02,Santa Cruz,16,1369
2015-02,Santa Cruz,17,1432
2015-02,Santa Cruz,18,1351
2015-02,Santa Cruz,19,1010
2015-02,Santa Cruz,20,1078
2015-02,Shasta,0,1589
2015-02,Shasta,1,1524
2015-02,Shasta,2,1401
2015-02,Shasta,3,1309
2015-02,Shasta,4,1362
2015-02,Shasta,5,1342
2015-02,Shasta,6,1355
2015-02,Shasta,7,1449
2015-02,Shasta,8,1293
2015-02,Shasta,9,1236
2015-02,Shasta,10,1140
2015-02,Shasta,11,1135
2015-02,Shasta,12,1158
2015-02,Shasta,13,1163
2015-02,Shasta,14,1083
2015-02,Shasta,15,1124
2015-02,Shasta,16,1141
2015-02,Shasta,17,1062
2015-02,Shasta,18,1176
2015-02,Shasta,19,1013
2015-02,Shasta,20,904
2015-02,Sierra,0,13
2015-02,Sierra,1,14
2015-02,Sierra,2,12
2015-02,Sierra,3,13
2015-02,Sierra,4,15
2015-02,Sierra,5,12
2015-02,Sierra,6,13
2015-02,Sierra,7,
2015-02,Sierra,8,
2015-02,Sierra,9,13
2015-02,Sierra,10,
2015-02,Sierra,11,16
2015-02,Sierra,12,14
2015-02,Sierra,13,
2015-02,Sierra,14,
2015-02,Sierra,15,
2015-02,Sierra,16,12
2015-02,Sierra,17,12
2015-02,Sierra,18,17
2015-02,Sierra,19,16
2015-02,Sierra,20,
2015-02,Siskiyou,0,351
2015-02,Siskiyou,1,350
2015-02,Siskiyou,2,377
2015-02,Siskiyou,3,367
2015-02,Siskiyou,4,321
2015-02,Siskiyou,5,356
2015-02,Siskiyou,6,359
2015-02,Siskiyou,7,348
2015-02,Siskiyou,8,328
2015-02,Siskiyou,9,343
2015-02,Siskiyou,10,316
2015-02,Siskiyou,11,277
2015-02,Siskiyou,12,299
2015-02,Siskiyou,13,266
2015-02,Siskiyou,14,265
2015-02,Siskiyou,15,292
2015-02,Siskiyou,16,283
2015-02,Siskiyou,17,253
2015-02,Siskiyou,18,284
2015-02,Siskiyou,19,235
2015-02,Siskiyou,20,223
2015-02,Solano,0,2713
2015-02,Solano,1,2650
2015-02,Solano,2,2542
2015-02,Solano,3,2637
2015-02,Solano,4,2574
2015-02,Solano,5,2694
2015-02,Solano,6,2730
2015-02,Solano,7,2786
2015-02,Solano,8,2664
2015-02,Solano,9,2478
2015-02,Solano,10,2421
2015-02,Solano,11,2410
2015-02,Solano,12,2274
2015-02,Solano,13,2262
2015-02,Solano,14,2283
2015-02,Solano,15,2141
2015-02,Solano,16,2172
2015-02,Solano,17,2133
2015-02,Solano,18,2082
2015-02,Solano,19,1726
2015-02,Solano,20,1716
2015-02,Sonoma,0,2945
2015-02,Sonoma,1,2741
2015-02,Sonoma,2,2698
2015-02,Sonoma,3,2738
2015-02,Sonoma,4,2886
2015-02,Sonoma,5,2950
2015-02,Sonoma,6,3058
2015-02,Sonoma,7,2982
2015-02,Sonoma,8,2994
2015-02,Sonoma,9,2787
2015-02,Sonoma,10,2860
2015-02,Sonoma,11,2669
2015-02,Sonoma,12,2601
2015-02,Sonoma,13,2524
2015-02,Sonoma,14,2418
2015-02,Sonoma,15,2390
2015-02,Sonoma,16,2357
2015-02,Sonoma,17,2251
2015-02,Sonoma,18,2249
2015-02,Sonoma,19,1791
2015-02,Sonoma,20,1567
2015-02,Stanislaus,0,5764
2015-02,Stanislaus,1,5352
2015-02,Stanislaus,2,5154
2015-02,Stanislaus,3,5243
2015-02,Stanislaus,4,5249
2015-02,Stanislaus,5,5227
2015-02,Stanislaus,6,5562
2015-02,Stanislaus,7,5627
2015-02,Stanislaus,8,5458
2015-02,Stanislaus,9,5162
2015-02,Stanislaus,10,4928
2015-02,Stanislaus,11,4822
2015-02,Stanislaus,12,4920
2015-02,Stanislaus,13,4742
2015-02,Stanislaus,14,4713
2015-02,Stanislaus,15,4498
2015-02,Stanislaus,16,4466
2015-02,Stanislaus,17,4420
2015-02,Stanislaus,18,4423
2015-02,Stanislaus,19,4115
2015-02,Stanislaus,20,3649
2015-02,Sutter,0,954
2015-02,Sutter,1,916
2015-02,Sutter,2,918
2015-02,Sutter,3,938
2015-02,Sutter,4,944
2015-02,Sutter,5,970
2015-02,Sutter,6,962
2015-02,Sutter,7,954
2015-02,Sutter,8,960
2015-02,Sutter,9,918
2015-02,Sutter,10,895
2015-02,Sutter,11,891
2015-02,Sutter,12,860
2015-02,Sutter,13,818
2015-02,Sutter,14,800
2015-02,Sutter,15,756
2015-02,Sutter,16,771
2015-02,Sutter,17,788
2015-02,Sutter,18,712
2015-02,Sutter,19,684
2015-02,Sutter,20,592
2015-02,Tehama,0,713
2015-02,Tehama,1,647
2015-02,Tehama,2,644
2015-02,Tehama,3,646
2015-02,Tehama,4,619
2015-02,Tehama,5,653
2015-02,Tehama,6,680
2015-02,Tehama,7,655
2015-02,Tehama,8,663
2015-02,Tehama,9,637
2015-02,Tehama,10,564
2015-02,Tehama,11,559
2015-02,Tehama,12,564
2015-02,Tehama,13,485
2015-02,Tehama,14,531
2015-02,Tehama,15,493
2015-02,Tehama,16,514
2015-02,Tehama,17,456
2015-02,Tehama,18,480
2015-02,Tehama,19,406
2015-02,Tehama,20,406
2015-02,Trinity,0,90
2015-02,Trinity,1,98
2015-02,Trinity,2,102
2015-02,Trinity,3,71
2015-02,Trinity,4,85
2015-02,Trinity,5,84
2015-02,Trinity,6,80
2015-02,Trinity,7,84
2015-02,Trinity,8,93
2015-02,Trinity,9,90
2015-02,Trinity,10,72
2015-02,Trinity,11,102
2015-02,Trinity,12,73
2015-02,Trinity,13,92
2015-02,Trinity,14,56
2015-02,Trinity,15,75
2015-02,Trinity,16,82
2015-02,Trinity,17,80
2015-02,Trinity,18,84
2015-02,Trinity,19,83
2015-02,Trinity,20,52
2015-02,Tulare,0,6685
2015-02,Tulare,1,6146
2015-02,Tulare,2,6395
2015-02,Tulare,3,6364
2015-02,Tulare,4,6385
2015-02,Tulare,5,6569
2015-02,Tulare,6,6617
2015-02,Tulare,7,6708
2015-02,Tulare,8,6533
2015-02,Tulare,9,6289
2015-02,Tulare,10,6129
2015-02,Tulare,11,5859
2015-02,Tulare,12,5831
2015-02,Tulare,13,5559
2015-02,Tulare,14,5602
2015-02,Tulare,15,5331
2015-02,Tulare,16,5239
2015-02,Tulare,17,5187
2015-02,Tulare,18,4944
2015-02,Tulare,19,3932
2015-02,Tulare,20,3874
2015-02,Tuolumne,0,290
2015-02,Tuolumne,1,302
2015-02,Tuolumne,2,283
2015-02,Tuolumne,3,270
2015-02,Tuolumne,4,267
2015-02,Tuolumne,5,252
2015-02,Tuolumne,6,255
2015-02,Tuolumne,7,275
2015-02,Tuolumne,8,265
2015-02,Tuolumne,9,255
2015-02,Tuolumne,10,258
2015-02,Tuolumne,11,246
2015-02,Tuolumne,12,221
2015-02,Tuolumne,13,259
2015-02,Tuolumne,14,259
2015-02,Tuolumne,15,252
2015-02,Tuolumne,16,252
2015-02,Tuolumne,17,234
2015-02,Tuolumne,18,244
2015-02,Tuolumne,19,234
2015-02,Tuolumne,20,183
2015-02,Ventura,0,5973
2015-02,Ventura,1,5347
2015-02,Ventura,2,5295
2015-02,Ventura,3,5249
2015-02,Ventura,4,5549
2015-02,Ventura,5,5608
2015-02,Ventura,6,5840
2015-02,Ventura,7,5836
2015-02,Ventura,8,5792
2015-02,Ventura,9,5445
2015-02,Ventura,10,5217
2015-02,Ventura,11,5060
2015-02,Ventura,12,4863
2015-02,Ventura,13,4800
2015-02,Ventura,14,4717
2015-02,Ventura,15,4611
2015-02,Ventura,16,4615
2015-02,Ventura,17,4437
2015-02,Ventura,18,4326
2015-02,Ventura,19,3398
2015-02,Ventura,20,3167
2015-02,Yolo,0,1354
2015-02,Yolo,1,1331
2015-02,Yolo,2,1249
2015-02,Yolo,3,1172
2015-02,Yolo,4,1226
2015-02,Yolo,5,1270
2015-02,Yolo,6,1312
2015-02,Yolo,7,1248
2015-02,Yolo,8,1361
2015-02,Yolo,9,1205
2015-02,Yolo,10,1167
2015-02,Yolo,11,1170
2015-02,Yolo,12,1090
2015-02,Yolo,13,1117
2015-02,Yolo,14,1140
2015-02,Yolo,15,1024
2015-02,Yolo,16,1070
2015-02,Yolo,17,990
2015-02,Yolo,18,1060
2015-02,Yolo,19,880
2015-02,Yolo,20,901
2015-02,Yuba,0,818
2015-02,Yuba,1,722
2015-02,Yuba,2,668
2015-02,Yuba,3,710
2015-02,Yuba,4,716
2015-02,Yuba,5,683
2015-02,Yuba,6,733
2015-02,Yuba,7,772
2015-02,Yuba,8,698
2015-02,Yuba,9,691
2015-02,Yuba,10,659
2015-02,Yuba,11,633
2015-02,Yuba,12,647
2015-02,Yuba,13,632
2015-02,Yuba,14,591
2015-02,Yuba,15,601
2015-02,Yuba,16,611
2015-02,Yuba,17,579
2015-02,Yuba,18,579
2015-02,Yuba,19,514
2015-02,Yuba,20,470
2015-03,Alameda,0,8640
2015-03,Alameda,1,8339
2015-03,Alameda,2,8155
2015-03,Alameda,3,7998
2015-03,Alameda,4,8087
2015-03,Alameda,5,8479
2015-03,Alameda,6,8579
2015-03,Alameda,7,8839
2015-03,Alameda,8,8315
2015-03,Alameda,9,8100
2015-03,Alameda,10,7612
2015-03,Alameda,11,7711
2015-03,Alameda,12,7377
2015-03,Alameda,13,7266
2015-03,Alameda,14,7431
2015-03,Alameda,15,7144
2015-03,Alameda,16,7239
2015-03,Alameda,17,7265
2015-03,Alameda,18,7120
2015-03,Alameda,19,5810
2015-03,Alameda,20,5515
2015-03,Alpine,0,16
2015-03,Alpine,1,
2015-03,Alpine,2,
2015-03,Alpine,3,
2015-03,Alpine,4,
2015-03,Alpine,5,
2015-03,Alpine,6,
2015-03,Alpine,7,
2015-03,Alpine,8,
2015-03,Alpine,9,
2015-03,Alpine,10,
2015-03,Alpine,11,
2015-03,Alpine,12,
2015-03,Alpine,13,
2015-03,Alpine,14,
2015-03,Alpine,15,
2015-03,Alpine,16,
2015-03,Alpine,17,
2015-03,Alpine,18,
2015-03,Alpine,19,11
2015-03,Alpine,20,
2015-03,Amador,0,182
2015-03,Amador,1,148
2015-03,Amador,2,157
2015-03,Amador,3,157
2015-03,Amador,4,138
2015-03,Amador,5,151
2015-03,Amador,6,150
2015-03,Amador,7,162
2015-03,Amador,8,153
2015-03,Amador,9,161
2015-03,Amador,10,163
2015-03,Amador,11,134
2015-03,Amador,12,147
2015-03,Amador,13,132
2015-03,Amador,14,139
2015-03,Amador,15,142
2015-03,Amador,16,125
2015-03,Amador,17,140
2015-03,Amador,18,145
2015-03,Amador,19,123
2015-03,Amador,20,82
2015-03,Butte,0,1788
2015-03,Butte,1,1596
2015-03,Butte,2,1531
2015-03,Butte,3,1492
2015-03,Butte,4,1629
2015-03,Butte,5,1543
2015-03,Butte,6,1559
2015-03,Butte,7,1546
2015-03,Butte,8,1625
2015-03,Butte,9,1472
2015-03,Butte,10,1393
2015-03,Butte,11,1407
2015-03,Butte,12,1345
2015-03,Butte,13,1393
2015-03,Butte,14,1308
2015-03,Butte,15,1331
2015-03,Butte,16,1326
2015-03,Butte,17,1327
2015-03,Butte,18,1351
2015-03,Butte,19,1428
2015-03,Butte,20,1314
2015-03,Calaveras,0,233
2015-03,Calaveras,1,230
2015-03,Calaveras,2,202
2015-03,Calaveras,3,215
2015-03,Calaveras,4,207
2015-03,Calaveras,5,231
2015-03,Calaveras,6,224
2015-03,Calaveras,7,238
2015-03,Calaveras,8,218
2015-03,Calaveras,9,236
2015-03,Calaveras,10,209
2015-03,Calaveras,11,209
2015-03,Calaveras,12,211
2015-03,Calaveras,13,177
2015-03,Calaveras,14,209
2015-03,Calaveras,15,236
2015-03,Calaveras,16,226
2015-03,Calaveras,17,202
2015-03,Calaveras,18,208
2015-03,Calaveras,19,177
2015-03,Calaveras,20,152
2015-03,Colusa,0,242
2015-03,Colusa,1,239
2015-03,Colusa,2,244
2015-03,Colusa,3,222
2015-03,Colusa,4,245
2015-03,Colusa,5,251
2015-03,Colusa,6,281
2015-03,Colusa,7,289
2015-03,Colusa,8,283
2015-03,Colusa,9,264
2015-03,Colusa,10,257
2015-03,Colusa,11,226
2015-03,Colusa,12,229
2015-03,Colusa,13,227
2015-03,Colusa,14,212
2015-03,Colusa,15,218
2015-03,Colusa,16,228
2015-03,Colusa,17,225
2015-03,Colusa,18,183
2015-03,Colusa,19,163
2015-03,Colusa,20,143
2015-03,Contra Costa,0,5909
2015-03,Contra Costa,1,5559
2015-03,Contra Costa,2,5565
2015-03,Contra Costa,3,5455
2015-03,Contra Costa,4,5628
2015-03,Contra Costa,5,5754
2015-03,Contra Costa,6,5783
2015-03,Contra Costa,7,6029
2015-03,Contra Costa,8,5887
2015-03,Contra Costa,9,5642
2015-03,Contra Costa,10,5456
2015-03,Contra Costa,11,5391
2015-03,Contra Costa,12,5251
2015-03,Contra Costa,13,5323
2015-03,Contra Costa,14,5334
2015-03,Contra Costa,15,5259
2015-03,Contra Costa,16,5320
2015-03,Contra Costa,17,5370
2015-03,Contra Costa,18,4965
2015-03,Contra Costa,19,4228
2015-03,Contra Costa,20,3728
2015-03,Del Norte,0,284
2015-03,Del Norte,1,252
2015-03,Del Norte,2,222
2015-03,Del Norte,3,235
2015-03,Del Norte,4,253
2015-03,Del Norte,5,228
2015-03,Del Norte,6,232
2015-03,Del Norte,7,225
2015-03,Del Norte,8,261
2015-03,Del Norte,9,230
2015-03,Del Norte,10,191
2015-03,Del Norte,11,205
2015-03,Del Norte,12,185
2015-03,Del Norte,13,178
2015-03,Del Norte,14,197
2015-03,Del Norte,15,196
2015-03,Del Norte,16,206
2015-03,Del Norte,17,189
2015-03,Del Norte,18,195
2015-03,Del Norte,19,168
2015-03,Del Norte,20,164
2015-03,El Dorado,0,875
2015-03,El Dorado,1,684
2015-03,El Dorado,2,715
2015-03,El Dorado,3,752
2015-03,El Dorado,4,734
2015-03,El Dorado,5,800
2015-03,El Dorado,6,786
2015-03,El Dorado,7,791
2015-03,El Dorado,8,823
2015-03,El Dorado,9,782
2015-03,El Dorado,10,725
2015-03,El Dorado,11,745
2015-03,El Dorado,12,723
2015-03,El Dorado,13,680
2015-03,El Dorado,14,641
2015-03,El Dorado,15,673
2015-03,El Dorado,16,639
2015-03,El Dorado,17,642
2015-03,El Dorado,18,629
2015-03,El Dorado,19,524
2015-03,El Dorado,20,463
2015-03,Fresno,0,12961
2015-03,Fresno,1,12075
2015-03,Fresno,2,12015
2015-03,Fresno,3,11889
2015-03,Fresno,4,11985
2015-03,Fresno,5,11919
2015-03,Fresno,6,11927
2015-03,Fresno,7,12372
2015-03,Fresno,8,11908
2015-03,Fresno,9,11101
2015-03,Fresno,10,10886
2015-03,Fresno,11,10497
2015-03,Fresno,12,10106
2015-03,Fresno,13,9831
2015-03,Fresno,14,9855
2015-03,Fresno,15,9513
2015-03,Fresno,16,9663
2015-03,Fresno,17,9244
2015-03,Fresno,18,9132
2015-03,Fresno,19,7655
2015-03,Fresno,20,7688
2015-03,Glenn,0,333
2015-03,Glenn,1,298
2015-03,Glenn,2,266
2015-03,Glenn,3,268
2015-03,Glenn,4,276
2015-03,Glenn,5,336
2015-03,Glenn,6,321
2015-03,Glenn,7,313
2015-03,Glenn,8,306
2015-03,Glenn,9,309
2015-03,Glenn,10,296
2015-03,Glenn,11,284
2015-03,Glenn,12,248
2015-03,Glenn,13,253
2015-03,Glenn,14,280
2015-03,Glenn,15,246
2015-03,Glenn,16,277
2015-03,Glenn,17,258
2015-03,Glenn,18,243
2015-03,Glenn,19,178
2015-03,Glenn,20,165
2015-03,Humboldt,0,1190
2015-03,Humboldt,1,1065
2015-03,Humboldt,2,1036
2015-03,Humboldt,3,970
2015-03,Humboldt,4,990
2015-03,Humboldt,5,990
2015-03,Humboldt,6,993
2015-03,Humboldt,7,977
2015-03,Humboldt,8,981
2015-03,Humboldt,9,964
2015-03,Humboldt,10,875
2015-03,Humboldt,11,841
2015-03,Humboldt,12,782
2015-03,Humboldt,13,837
2015-03,Humboldt,14,749
2015-03,Humboldt,15,766
2015-03,Humboldt,16,746
2015-03,Humboldt,17,756
2015-03,Humboldt,18,731
2015-03,Humboldt,19,696
2015-03,Humboldt,20,688
2015-03,Imperial,0,2401
2015-03,Imperial,1,1943
2015-03,Imperial,2,2007
2015-03,Imperial,3,1948
2015-03,Imperial,4,1995
2015-03,Imperial,5,2056
2015-03,Imperial,6,2064
2015-03,Imperial,7,2055
2015-03,Imperial,8,1997
2015-03,Imperial,9,1931
2015-03,Imperial,10,1889
2015-03,Imperial,11,1858
2015-03,Imperial,12,1828
2015-03,Imperial,13,1764
2015-03,Imperial,14,1830
2015-03,Imperial,15,1825
2015-03,Imperial,16,1771
2015-03,Imperial,17,1753
2015-03,Imperial,18,1738
2015-03,Imperial,19,1481
2015-03,Imperial,20,1328
2015-03,Inyo,0,138
2015-03,Inyo,1,136
2015-03,Inyo,2,112
2015-03,Inyo,3,132
2015-03,Inyo,4,102
2015-03,Inyo,5,129
2015-03,Inyo,6,117
2015-03,Inyo,7,122
2015-03,Inyo,8,128
2015-03,Inyo,9,120
2015-03,Inyo,10,110
2015-03,Inyo,11,106
2015-03,Inyo,12,94
2015-03,Inyo,13,96
2015-03,Inyo,14,90
2015-03,Inyo,15,109
2015-03,Inyo,16,107
2015-03,Inyo,17,91
2015-03,Inyo,18,108
2015-03,Inyo,19,81
2015-03,Inyo,20,66
2015-03,Kern,0,11142
2015-03,Kern,1,9952
2015-03,Kern,2,10165
2015-03,Kern,3,9803
2015-03,Kern,4,9899
2015-03,Kern,5,9985
2015-03,Kern,6,10245
2015-03,Kern,7,10176
2015-03,Kern,8,9922
2015-03,Kern,9,9402
2015-03,Kern,10,9037
2015-03,Kern,11,8883
2015-03,Kern,12,8616
2015-03,Kern,13,8359
2015-03,Kern,14,8203
2015-03,Kern,15,8041
2015-03,Kern,16,7815
2015-03,Kern,17,7769
2015-03,Kern,18,7488
2015-03,Kern,19,6674
2015-03,Kern,20,6326
2015-03,Kings,0,1576
2015-03,Kings,1,1447
2015-03,Kings,2,1454
2015-03,Kings,3,1510
2015-03,Kings,4,1424
2015-03,Kings,5,1506
2015-03,Kings,6,1599
2015-03,Kings,7,1584
2015-03,Kings,8,1527
2015-03,Kings,9,1414
2015-03,Kings,10,1369
2015-03,Kings,11,1274
2015-03,Kings,12,1273
2015-03,Kings,13,1246
2015-03,Kings,14,1222
2015-03,Kings,15,1225
2015-03,Kings,16,1128
2015-03,Kings,17,1128
2015-03,Kings,18,1126
2015-03,Kings,19,995
2015-03,Kings,20,849
2015-03,Lake,0,638
2015-03,Lake,1,638
2015-03,Lake,2,632
2015-03,Lake,3,544
2015-03,Lake,4,615
2015-03,Lake,5,596
2015-03,Lake,6,588
2015-03,Lake,7,607
2015-03,Lake,8,593
2015-03,Lake,9,574
2015-03,Lake,10,544
2015-03,Lake,11,499
2015-03,Lake,12,500
2015-03,Lake,13,495
2015-03,Lake,14,516
2015-03,Lake,15,524
2015-03,Lake,16,503
2015-03,Lake,17,460
2015-03,Lake,18,517
2015-03,Lake,19,441
2015-03,Lake,20,403
2015-03,Lassen,0,198
2015-03,Lassen,1,195
2015-03,Lassen,2,161
2015-03,Lassen,3,182
2015-03,Lassen,4,155
2015-03,Lassen,5,159
2015-03,Lassen,6,157
2015-03,Lassen,7,163
2015-03,Lassen,8,131
2015-03,Lassen,9,168
2015-03,Lassen,10,139
2015-03,Lassen,11,135
2015-03,Lassen,12,137
2015-03,Lassen,13,133
2015-03,Lassen,14,118
2015-03,Lassen,15,117
2015-03,Lassen,16,133
2015-03,Lassen,17,126
2015-03,Lassen,18,128
2015-03,Lassen,19,109
2015-03,Lassen,20,111
2015-03,Los Angeles,0,81644
2015-03,Los Angeles,1,75034
2015-03,Los Angeles,2,74332
2015-03,Los Angeles,3,73793
2015-03,Los Angeles,4,74722
2015-03,Los Angeles,5,77061
2015-03,Los Angeles,6,78336
2015-03,Los Angeles,7,80694
2015-03,Los Angeles,8,78262
2015-03,Los Angeles,9,74208
2015-03,Los Angeles,10,72987
2015-03,Los Angeles,11,71500
2015-03,Los Angeles,12,70513
2015-03,Los Angeles,13,70639
2015-03,Los Angeles,14,71870
2015-03,Los Angeles,15,71457
2015-03,Los Angeles,16,71395
2015-03,Los Angeles,17,72541
2015-03,Los Angeles,18,71227
2015-03,Los Angeles,19,63903
2015-03,Los Angeles,20,59300
2015-03,Madera,0,2049
2015-03,Madera,1,1849
2015-03,Madera,2,1805
2015-03,Madera,3,1863
2015-03,Madera,4,1868
2015-03,Madera,5,1785
2015-03,Madera,6,1941
2015-03,Madera,7,1918
2015-03,Madera,8,1922
2015-03,Madera,9,1732
2015-03,Madera,10,1779
2015-03,Madera,11,1670
2015-03,Madera,12,1598
2015-03,Madera,13,1608
2015-03,Madera,14,1540
2015-03,Madera,15,1523
2015-03,Madera,16,1444
2015-03,Madera,17,1470
2015-03,Madera,18,1411
2015-03,Madera,19,1234
2015-03,Madera,20,1111
2015-03,Marin,0,933
2015-03,Marin,1,842
2015-03,Marin,2,805
2015-03,Marin,3,837
2015-03,Marin,4,846
2015-03,Marin,5,853
2015-03,Marin,6,910
2015-03,Marin,7,994
2015-03,Marin,8,881
2015-03,Marin,9,814
2015-03,Marin,10,823
2015-03,Marin,11,830
2015-03,Marin,12,812
2015-03,Marin,13,765
2015-03,Marin,14,737
2015-03,Marin,15,754
2015-03,Marin,16,731
2015-03,Marin,17,694
2015-03,Marin,18,696
2015-03,Marin,19,577
2015-03,Marin,20,501
2015-03,Mariposa,0,91
2015-03,Mariposa,1,88
2015-03,Mariposa,2,95
2015-03,Mariposa,3,82
2015-03,Mariposa,4,81
2015-03,Mariposa,5,97
2015-03,Mariposa,6,90
2015-03,Mariposa,7,83
2015-03,Mariposa,8,92
2015-03,Mariposa,9,88
2015-03,Mariposa,10,86
2015-03,Mariposa,11,79
2015-03,Mariposa,12,82
2015-03,Mariposa,13,79
2015-03,Mariposa,14,86
2015-03,Mariposa,15,89
2015-03,Mariposa,16,73
2015-03,Mariposa,17,78
2015-03,Mariposa,18,95
2015-03,Mariposa,19,85
2015-03,Mariposa,20,65
2015-03,Mendocino,0,921
2015-03,Mendocino,1,868
2015-03,Mendocino,2,909
2015-03,Mendocino,3,851
2015-03,Mendocino,4,846
2015-03,Mendocino,5,886
2015-03,Mendocino,6,865
2015-03,Mendocino,7,859
2015-03,Mendocino,8,788
2015-03,Mendocino,9,844
2015-03,Mendocino,10,784
2015-03,Mendocino,11,703
2015-03,Mendocino,12,763
2015-03,Mendocino,13,737
2015-03,Mendocino,14,731
2015-03,Mendocino,15,709
2015-03,Mendocino,16,692
2015-03,Mendocino,17,694
2015-03,Mendocino,18,682
2015-03,Mendocino,19,647
2015-03,Mendocino,20,586
2015-03,Merced,0,3484
2015-03,Merced,1,3368
2015-03,Merced,2,3465
2015-03,Merced,3,3440
2015-03,Merced,4,3391
2015-03,Merced,5,3481
2015-03,Merced,6,3418
2015-03,Merced,7,3564
2015-03,Merced,8,3582
2015-03,Merced,9,3327
2015-03,Merced,10,3236
2015-03,Merced,11,3091
2015-03,Merced,12,3137
2015-03,Merced,13,3004
2015-03,Merced,14,3038
2015-03,Merced,15,2985
2015-03,Merced,16,2759
2015-03,Merced,17,2818
2015-03,Merced,18,2774
2015-03,Merced,19,2574
2015-03,Merced,20,2266
2015-03,Modoc,0,71
2015-03,Modoc,1,62
2015-03,Modoc,2,69
2015-03,Modoc,3,63
2015-03,Modoc,4,77
2015-03,Modoc,5,58
2015-03,Modoc,6,68
2015-03,Modoc,7,64
2015-03,Modoc,8,72
2015-03,Modoc,9,63
2015-03,Modoc,10,54
2015-03,Modoc,11,72
2015-03,Modoc,12,56
2015-03,Modoc,13,52
2015-03,Modoc,14,49
2015-03,Modoc,15,40
2015-03,Modoc,16,58
2015-03,Modoc,17,57
2015-03,Modoc,18,53
2015-03,Modoc,19,54
2015-03,Modoc,20,39
2015-03,Mono,0,115
2015-03,Mono,1,106
2015-03,Mono,2,95
2015-03,Mono,3,88
2015-03,Mono,4,80
2015-03,Mono,5,78
2015-03,Mono,6,93
2015-03,Mono,7,91
2015-03,Mono,8,91
2015-03,Mono,9,83
2015-03,Mono,10,97
2015-03,Mono,11,78
2015-03,Mono,12,72
2015-03,Mono,13,77
2015-03,Mono,14,79
2015-03,Mono,15,50
2015-03,Mono,16,60
2015-03,Mono,17,74
2015-03,Mono,18,53
2015-03,Mono,19,58
2015-03,Mono,20,47
2015-03,Monterey,0,5408
2015-03,Monterey,1,4975
2015-03,Monterey,2,4742
2015-03,Monterey,3,4827
2015-03,Monterey,4,4845
2015-03,Monterey,5,4791
2015-03,Monterey,6,5105
2015-03,Monterey,7,5041
2015-03,Monterey,8,4916
2015-03,Monterey,9,4555
2015-03,Monterey,10,4376
2015-03,Monterey,11,4199
2015-03,Monterey,12,3953
2015-03,Monterey,13,3814
2015-03,Monterey,14,3546
2015-03,Monterey,15,3467
2015-03,Monterey,16,3348
2015-03,Monterey,17,3231
2015-03,Monterey,18,3208
2015-03,Monterey,19,2865
2015-03,Monterey,20,2643
2015-03,Napa,0,837
2015-03,Napa,1,730
2015-03,Napa,2,701
2015-03,Napa,3,761
2015-03,Napa,4,758
2015-03,Napa,5,754
2015-03,Napa,6,800
2015-03,Napa,7,840
2015-03,Napa,8,816
2015-03,Napa,9,802
2015-03,Napa,10,724
2015-03,Napa,11,750
2015-03,Napa,12,703
2015-03,Napa,13,664
2015-03,Napa,14,683
2015-03,Napa,15,628
2015-03,Napa,16,642
2015-03,Napa,17,626
2015-03,Napa,18,597
2015-03,Napa,19,533
2015-03,Napa,20,439
2015-03,Nevada,0,504
2015-03,Nevada,1,523
2015-03,Nevada,2,477
2015-03,Nevada,3,438
2015-03,Nevada,4,475
2015-03,Nevada,5,443
2015-03,Nevada,6,506
2015-03,Nevada,7,490
2015-03,Nevada,8,471
2015-03,Nevada,9,439
2015-03,Nevada,10,431
2015-03,Nevada,11,440
2015-03,Nevada,12,454
2015-03,Nevada,13,444
2015-03,Nevada,14,448
2015-03,Nevada,15,413
2015-03,Nevada,16,468
2015-03,Nevada,17,426
2015-03,Nevada,18,427
2015-03,Nevada,19,373
2015-03,Nevada,20,303
2015-03,Orange,0,19382
2015-03,Orange,1,18650
2015-03,Orange,2,18596
2015-03,Orange,3,18436
2015-03,Orange,4,18897
2015-03,Orange,5,19525
2015-03,Orange,6,20531
2015-03,Orange,7,21469
2015-03,Orange,8,20729
2015-03,Orange,9,19907
2015-03,Orange,10,19111
2015-03,Orange,11,19295
2015-03,Orange,12,18526
2015-03,Orange,13,18349
2015-03,Orange,14,18903
2015-03,Orange,15,18624
2015-03,Orange,16,18037
2015-03,Orange,17,18107
2015-03,Orange,18,18171
2015-03,Orange,19,14029
2015-03,Orange,20,12910
2015-03,Placer,0,1439
2015-03,Placer,1,1415
2015-03,Placer,2,1277
2015-03,Placer,3,1363
2015-03,Placer,4,1306
2015-03,Placer,5,1332
2015-03,Placer,6,1456
2015-03,Placer,7,1522
2015-03,Placer,8,1460
2015-03,Placer,9,1393
2015-03,Placer,10,1339
2015-03,Placer,11,1292
2015-03,Placer,12,1299
2015-03,Placer,13,1235
2015-03,Placer,14,1280
2015-03,Placer,15,1236
2015-03,Placer,16,1204
2015-03,Placer,17,1202
2015-03,Placer,18,1144
2015-03,Placer,19,914
2015-03,Placer,20,844
2015-03,Plumas,0,117
2015-03,Plumas,1,115
2015-03,Plumas,2,125
2015-03,Plumas,3,101
2015-03,Plumas,4,104
2015-03,Plumas,5,102
2015-03,Plumas,6,98
2015-03,Plumas,7,107
2015-03,Plumas,8,104
