county_fips,county_name,region_code,child_facility_capacity,child_total_pop,child_rate_slots,child_ll_95ci,child_ul_95ci,child_se,child_rse,child_ca_rr,child_num_facility,child_pct_nonwhite,infant_facility_capacity,infant_total_pop,infant_rate_slots,infant_ll_95ci,infant_ul_95ci,infant_se,infant_rse,infant_ca_rr,infant_num_facility,infant_pct_nonwhite
6001.0,Alameda,1.0,30404.0,78508.0,387.2726346359608,382.91944567208446,391.6258235998369,2.221014777487859,0.5735016055486675,1.338019751153004,528.0,78.64166709125186,2252.0,58612.0,38.422166109329154,36.83525089642387,40.00908132223444,0.8096506188292275,2.1072487598054472,1.2739072491583003,98.0,78.78762028253601
6003.0,Alpine,3.0,17.0,65.0,261.5384615384616,137.21096882752897,385.86595424939406,63.43239424027172,24.253562503633297,0.9036105211864028,1.0,43.07692307692309,,36.0,,,,,,,,58.33333333333335
6005.0,Amador,3.0,320.0,1202.0,266.22296173044924,237.05362239001929,295.39230107087894,14.882315990015238,5.590169943749475,0.919795382239267,14.0,28.785357737104825,24.0,834.0,28.776978417266196,17.263789218573066,40.290167615959305,5.874076121782202,20.412414523193156,0.9541159472975748,2.0,28.05755395683453
6007.0,Butte,2.0,2984.0,9973.0,299.2078612253084,288.4721786599236,309.943543790693,5.477389063971788,1.8306300648455311,1.0337575966245025,74.0,41.4418931114008,443.0,7322.0,60.50259491942092,54.86844745253968,66.13674238630219,2.87456503412308,4.751143381455797,2.005995550626289,25.0,42.024037148320126
6009.0,Calaveras,3.0,471.0,1673.0,281.5301852958756,256.10462196541954,306.95574862633174,12.972226189008188,4.607756775840913,0.9726815550128938,18.0,25.70233114166168,52.0,1156.0,44.98269896193772,32.75626211088337,57.209135812992095,6.237977985231816,13.867504905630724,1.491425187514462,3.0,25.346020761245672
6011.0,Colusa,7.0,306.0,1506.0,203.187250996016,180.42098463367185,225.95351735836016,11.615442021604188,5.716619504750296,0.7020081738300742,11.0,79.15006640106243,110.0,1097.0,100.27347310847765,81.53450006915682,119.01244614779851,9.56070053026574,9.53462589245592,3.324620062484028,4.0,80.94804010938925
6013.0,Contra Costa,1.0,18271.0,56056.0,325.9419152276295,321.21568225553546,330.6681481997236,2.411343353109205,0.739807689791963,1.1261232560703898,320.0,67.24168688454401,1785.0,38823.0,45.97789969863225,43.84492310529407,48.11087629197044,1.0882533639480516,2.3669053416557544,1.5244215945685402,73.0,68.89472735234268
6015.0,Del Norte,5.0,277.0,1346.0,205.79494799405643,181.5595087109192,230.03038727719377,12.36502004241697,6.008417681261097,0.7110177184669689,10.0,47.17682020802376,20.0,972.0,20.5761316872428,11.55824437057698,29.59401900390862,4.600962916666232,22.3606797749979,0.6822125343331426,1.0,48.86831275720165
6017.0,El Dorado,8.0,2718.0,8201.0,331.422997195464,318.9631135814829,343.88288080944506,6.357083476520949,1.9181177921614536,1.145060292345996,62.0,33.55688330691379,275.0,5318.0,51.71116961263633,45.599299935035184,57.82303929023749,3.118300855918956,6.030226891555272,1.714511192433706,19.0,34.37382474614516
6019.0,Fresno,10.0,13564.0,63454.0,213.76114980931075,210.16373135958403,217.35856825903744,1.835417576391171,0.8586301009460732,0.738540797603455,290.0,81.86087559491918,1061.0,47329.0,22.41754526822878,21.06862451981624,23.766466016641317,0.6882248716390515,3.070027799227583,0.7432655760289619,48.0,82.37232986118448
6021.0,Glenn,7.0,305.0,1729.0,176.40254482359745,156.60501536999243,196.20007427720245,10.100780333471938,5.725983343138684,0.6094675120784008,10.0,60.32388663967615,48.0,1308.0,36.697247706422026,26.315536443929677,47.07895896891439,5.296791460455282,14.433756729740644,1.2167166667372735,3.0,62.46177370030582
6023.0,Humboldt,5.0,1797.0,6221.0,288.86031184697,275.5045117978832,302.21611189605653,6.814183698513628,2.358989248105359,0.9980070059398224,53.0,38.884423726089054,148.0,4551.0,32.52032520325202,27.280942843601625,37.75970756290245,2.673154265127762,8.219949365267865,1.0782285908484788,6.0,38.69479235332893
6025.0,Imperial,14.0,2659.0,10981.0,242.14552408705944,232.94159320814745,251.34945496597143,4.695883101485744,1.939281396668482,0.8366082829124742,56.0,92.26846371004464,145.0,8118.0,17.86154225178616,14.954234371220396,20.768850132351925,1.483320347227432,8.304547985373999,0.5922088851251113,7.0,92.79379157427938
6027.0,Inyo,3.0,327.0,837.0,390.6810035842294,348.3357742087822,433.02623295967646,21.60470886502404,5.530012636093312,1.3497956024890705,14.0,58.78136200716849,,655.0,,,,,,,,57.40458015267176
6029.0,Kern,10.0,10807.0,57922.0,186.5785021235455,183.06075110220272,190.0962531448883,1.794770929256514,0.961938759733467,0.6446252553230761,188.0,74.90418148544595,578.0,43784.0,13.201169376941344,12.124940711258184,14.27739804262451,0.5490962580016124,4.159451654038514,0.4376917563366853,31.0,75.41110908094282
6031.0,Kings,10.0,1731.0,10207.0,169.5894974037425,161.60023858863116,177.57875621885387,4.076152456689472,2.403540619608864,0.5859285599345782,42.0,76.18301165866563,65.0,7782.0,8.352608583911591,6.322021949798875,10.383195218024303,1.0360135888330186,12.403473458920844,0.2769351575377019,4.0,75.93163711128243
6033.0,Lake,5.0,583.0,2959.0,197.0260223048328,181.0324534798288,213.01959112983656,8.159984094389749,4.141576832812911,0.6807212432729406,20.0,45.35315985130112,78.0,2181.0,35.76341127922969,27.82656978541836,43.70025277304107,4.049408925413959,11.322770341445956,1.185754825836807,3.0,46.53828519027968
