county,adolescent_birth_population,adolescent_birth_births,adolescent_birth_abr,adolescent_birth_lower,adolescent_birth_upper,asthma_number_of_deaths,asthma_age_adjusted_mortality_rate,asthma_surpressed,infant_mortality_rate,infant_mortality_lower,infant_mortality_upper,std_chlamydia_cases,std_chlamydia_rate,std_chlamydia_lower,std_chlamydia_upper,std_chlamydia_supressed,std_gonorrhea_cases,std_gonorrhea_rate,std_gonorrhea_lower,std_gonorrhea_upper,std_gonorrhea_supressed,std_syphilis_cases,std_population,std_syphilis_rate,std_syphilis_lower,std_syphilis_upper,std_syphilis_supressed
Sacramento,159485,2671,16.7,16.1,17.3,66.0,14.1,0,5.2,4.6,5.8,8419,565.6,553.6,577.7,0,2872,192.9,185.9,200.1,0,337,1488600,22.6,20.3,25.2,0
San Benito,6668,126,18.9,15.6,22.2,,,1,,,,165,286.5,244.5,333.7,0,74,128.5,100.9,161.3,0,7,57587,12.2,4.9,25.0,1
San Bernardino,251903,6176,24.5,23.9,25.1,73.0,12.5,0,6.2,5.7,6.7,11062,519.7,510.1,529.5,0,2758,129.6,124.8,134.5,0,242,2128499,11.4,10.0,12.9,0
San Diego,330756,5245,15.9,15.5,16.3,69.0,6.5,0,3.9,3.6,4.2,17408,531.7,523.8,539.6,0,3691,112.7,109.1,116.4,0,841,3274141,25.7,24.0,27.5,0
San Francisco,51821,390,7.5,6.8,8.2,23.0,6.8,0,2.8,2.2,3.5,7665,886.4,866.7,906.3,0,4485,518.6,503.6,534.0,0,1231,864783,142.3,134.5,150.5,0
San Joaquin,85522,1857,21.7,20.7,22.7,31.0,15.4,0,5.4,4.6,6.3,3554,488.1,472.2,504.4,0,1250,171.7,162.3,181.5,0,198,728110,27.2,23.5,31.3,0
San Luis Obispo,30894,366,11.8,10.6,13.0,6.0,,1,4.8,3.5,6.6,1083,391.6,368.7,415.6,0,169,61.1,52.2,71.1,0,19,276534,6.9,4.1,10.7,0
San Mateo,59276,611,10.3,9.5,11.1,33.0,11.2,0,3.1,2.5,3.8,2377,310.8,298.5,323.6,0,539,70.5,64.7,76.7,0,97,764711,12.7,10.3,15.5,0
Santa Barbara,57042,1091,19.1,18.0,20.2,6.0,,1,4.6,3.7,5.8,2291,515.4,494.6,536.9,0,336,75.6,67.7,84.1,0,62,444491,13.9,10.7,17.9,0
Santa Clara,177194,1874,10.6,10.1,11.1,67.0,11.1,0,3.3,2.9,3.8,6771,352.9,344.5,361.4,0,1784,93.0,88.7,97.4,0,227,1918777,11.8,10.3,13.5,0
Santa Cruz,35743,440,12.3,11.2,13.4,,,1,4.3,3.1,5.9,978,356.2,334.3,379.2,0,181,65.9,56.7,76.3,0,51,274563,18.6,13.8,24.4,0
Shasta,16714,362,21.7,19.5,23.9,6.0,,1,4.4,3.0,6.3,646,362.2,334.8,391.2,0,366,205.2,184.7,227.3,0,12,178365,6.7,3.5,11.8,0
Sierra,207,S,0.0,0.0,0.0,0.0,0.0,0,,,,3,95.3,19.7,278.2,1,3,95.3,19.7,278.2,1,0,3149,0.0,0.0,117.1,0
Siskiyou,3978,S,0.0,0.0,0.0,,,1,,,,94,211.3,170.8,258.5,0,8,18.0,7.8,35.4,1,0,44491,0.0,0.0,8.3,0
Solano,44831,671,15.0,13.9,16.1,20.0,14.4,0,5.7,4.6,7.0,2429,565.8,543.6,588.7,0,686,159.8,148.1,172.2,0,71,429272,16.5,12.9,20.9,0
Sonoma,48925,528,10.8,9.9,11.7,12.0,5.9,0,3.0,2.2,4.0,1893,377.9,361.1,395.3,0,443,88.4,80.4,97.1,0,77,500919,15.4,12.1,19.2,0
Stanislaus,63697,1603,25.2,24.0,26.4,20.0,13.0,0,5.1,4.3,6.1,2517,468.2,450.1,486.8,0,753,140.1,130.2,150.4,0,111,537608,20.6,17.0,24.9,0
Sutter,10649,220,20.7,18.0,23.4,6.0,,1,5.8,3.8,8.6,313,320.6,286.1,358.1,0,96,98.3,79.7,120.1,0,3,97617,3.1,0.6,9.0,1
Tehama,6500,193,29.7,25.5,33.9,0.0,0.0,0,4.6,2.6,8.2,198,309.5,267.9,355.6,0,73,114.1,89.4,143.4,0,1,63977,1.6,0.0,8.7,1
Trinity,1191,S,0.0,0.0,0.0,0.0,0.0,0,,,,26,191.7,125.3,280.8,0,12,88.5,45.7,154.5,0,0,13562,0.0,0.0,27.2,0
Tulare,55157,1984,36.0,34.4,37.6,15.0,12.0,0,6.2,5.2,7.3,2161,465.4,446.0,485.4,0,671,144.5,133.8,155.9,0,51,464337,11.0,8.2,14.4,0
Tuolumne,4292,S,0.0,0.0,0.0,6.0,,1,8.7,5.0,15.2,103,188.9,154.2,229.0,0,34,62.4,43.2,87.1,0,5,54529,9.2,3.0,21.4,1
Ventura,89985,1497,16.6,15.8,17.4,24.0,8.7,0,3.9,3.2,4.7,2710,318.0,306.2,330.2,0,621,72.9,67.3,78.8,0,53,852199,6.2,4.7,8.1,0
Yolo,30778,273,8.9,7.8,10.0,,,1,4.7,3.4,6.6,818,384.3,358.5,411.5,0,189,88.8,76.6,102.4,0,33,212850,15.5,10.7,21.8,0
Yuba,8125,234,28.8,25.1,32.5,,,1,7.5,5.2,10.9,272,359.9,318.5,405.2,0,81,107.2,85.1,133.2,0,0,75579,0.0,0.0,4.9,0
