county,abortion_medicaid_expenditures,abortion_rs_count_total,abortion_rs_count_total_suppressed,daycare_slots_child_facility_capacity,daycare_slots_child_total_pop,daycare_slots_child_rate_slots,daycare_slots_child_num_facility,daycare_slots_child_pct_nonwhite,daycare_slots_infant_facility_capacity,daycare_slots_infant_total_pop,daycare_slots_infant_rate_slots,daycare_slots_infant_num_facility,daycare_slots_infant_pct_nonwhite,graduation_2019_cohort_size,dropout_rate_2019_cohort,ecigs_sold_pct_tobacco_stores_2016,ecigs_sold_pct_tobacco_stores_2013,povr_whole_total_estimate,adolescent_birth_abr,asthma_number_of_deaths,asthma_age_adjusted_mortality_rate,asthma_surpressed,infant_mortality_rate,std_chlamydia_rate,std_chlamydia_supressed,std_gonorrhea_rate,std_gonorrhea_supressed,std_population,std_syphilis_rate,std_syphilis_supressed,sui_adjusted_rate_avg,unemployment_rate,gini_coefficient_2015,gini_suppressed_2015,gini_combined_2015,gini_coefficient_range,gini_suppressed_range,num_of_indiv_A0,num_of_indiv_A1,num_of_indiv_A2,num_of_indiv_A3,num_of_indiv_A4,num_of_indiv_A5,num_of_indiv_A6,num_of_indiv_A7,num_of_indiv_A8,num_of_indiv_A9,num_of_indiv_A10,num_of_indiv_A11,num_of_indiv_A12,num_of_indiv_A13,num_of_indiv_A14,num_of_indiv_A15,num_of_indiv_A16,num_of_indiv_A17,num_of_indiv_A18,num_of_indiv_A19,num_of_indiv_A20,medicaid_sum_0_20
Humboldt,72043.25,1048.0,0.0,1797.0,6221.0,288.86031184697,53.0,38.884423726089054,148.0,4551.0,32.52032520325202,6.0,38.69479235332893,1467.0,9.7,0.76,0.4,44.6850857268742,14.5,10.0,,1,7.3,460.6,0,177.0,0,135032,1.5,1,23.61,5.625,,1,0.0,0.4682,0.0,1165.5,1079.25,1046.0,975.8333333,1031.166667,976.75,976.9166667,1023.583333,980.3333333,957.8333333,937.9166667,849.75,811.75,810.5,798.5833333,753.5,764.75,762.75,736.4166667,699.1666667,708.5,18846.75
Imperial,22656.33,326.0,0.0,2659.0,10981.0,242.14552408705944,56.0,92.26846371004464,145.0,8118.0,17.86154225178616,7.0,92.79379157427938,3127.0,10.4,0.63,0.53,51.8929226869758,37.8,,,1,3.8,398.2,0,40.0,0,185072,9.7,0,7.899,24.59166666666667,0.4621,0,0.0,0.4719,0.0,2390.916667,2059.0,1980.416667,1975.75,2012.25,2039.833333,2094.0,2091.5,2023.666667,1942.75,1965.75,1884.833333,1865.416667,1829.833333,1817.166667,1829.916667,1810.25,1742.833333,1771.083333,1461.416667,1367.166667,39955.750001
Inyo,1660.82,23.0,0.0,327.0,837.0,390.6810035842294,14.0,58.78136200716849,,655.0,,,57.40458015267176,812.0,48.2,0.69,0.2,31.2408512554893,0.0,0.0,0.0,0,,295.1,0,21.5,1,18640,0.0,0,15.93,5.833333333333333,0.4612,0,1.0,0.4117,0.0,131.6666667,138.5,116.1666667,128.5,105.0833333,115.8333333,126.75,119.0833333,121.0833333,124.4166667,120.6666667,108.3333333,99.41666667,96.5,95.33333333,101.25,109.4166667,95.83333333,100.25,80.75,70.25,2305.08333333
Kern,373915.27,4243.0,0.0,10807.0,57922.0,186.5785021235455,188.0,74.90418148544595,578.0,43784.0,13.201169376941344,31.0,75.41110908094282,14224.0,8.0,0.62,0.42,48.1563215855598,35.6,22.0,9.3,0,6.1,692.5,0,174.9,0,883494,28.6,0,13.57,10.283333333333331,0.4609,0,0.0,0.462,0.0,11058.08333,10126.25,10213.41667,9934.583333,10005.58333,10120.0,10267.91667,10390.91667,10093.25,9732.833333,9225.5,8997.166667,8802.0,8528.666667,8328.333333,8195.0,7966.5,7836.5,7586.666667,6617.333333,6390.916667,190417.41667
Kings,12667.67,234.0,0.0,1731.0,10207.0,169.5894974037425,42.0,76.18301165866563,65.0,7782.0,8.352608583911591,4.0,75.93163711128243,2293.0,7.5,0.66,0.22,49.3584848599403,32.0,6.0,,1,4.7,395.8,0,112.8,0,149832,26.7,0,11.105,10.575,,1,,0.4391,0.0,1598.666667,1437.666667,1449.333333,1483.0,1462.916667,1454.75,1578.916667,1607.0,1516.0,1439.833333,1419.5,1298.583333,1260.5,1254.0,1215.5,1211.583333,1171.583333,1129.916667,1100.666667,984.25,860.5833333,27934.7500003
Lake,8858.93,392.0,0.0,583.0,2959.0,197.0260223048328,20.0,45.35315985130112,78.0,2181.0,35.76341127922969,3.0,46.53828519027968,750.0,11.7,0.62,0.47,49.1764668689934,30.7,,,1,,390.3,0,229.9,0,64815,6.2,1,26.62,7.633333333333334,0.4966,0,1.0,0.4691,0.0,631.3333333,618.4166667,624.25,586.1666667,613.25,601.9166667,573.5833333,596.4166667,616.4166667,577.6666667,550.0833333,511.1666667,513.9166667,507.3333333,497.4166667,521.0,512.0833333,482.4166667,497.9166667,437.75,414.25,11484.750000200002
Lassen,1405.71,98.0,0.0,344.0,1255.0,274.10358565737056,11.0,29.482071713147405,22.0,990.0,22.222222222222225,2.0,33.03030303030303,298.0,5.7,0.81,0.48,30.656264341441,0.0,0.0,0.0,0,,252.0,0,29.1,1,30958,3.2,1,22.505,7.275,0.4663,0,1.0,0.4312,0.0,196.6666667,200.5833333,168.75,175.6666667,168.0,159.5,165.25,157.9166667,142.6666667,163.5,144.0,137.4166667,137.5833333,135.0833333,124.1666667,125.75,135.1666667,132.8333333,121.4166667,116.5833333,108.0,3116.5000001
Los Angeles,6451591.05,37817.0,0.0,160580.0,516583.0,310.85033769984693,2641.0,83.36898426777498,9823.0,388055.0,25.31342206645965,430.0,83.62500161059644,120444.0,10.6,0.48,0.36,40.4907864379328,17.1,305.0,9.8,0,4.3,561.3,0,173.0,0,10179482,34.2,0,7.695,6.683333333333334,0.4992,0,0.0,0.5029,0.0,80760.66667,76096.0,75086.16667,74769.83333,75849.16667,77295.0,78812.5,81497.58333,79925.75,75937.33333,74352.0,72851.58333,71987.41667,71293.33333,72610.66667,73175.0,72382.91667,73249.16667,72042.08333,64898.0,62000.41667,1556872.58334
Madera,53610.21,401.0,0.0,1781.0,9748.0,182.7041444398851,50.0,80.1702913418137,70.0,7077.0,9.89119683481701,5.0,81.06542320192169,2239.0,12.7,0.69,0.32,50.7350443937703,35.7,6.0,,1,5.2,473.7,0,102.7,0,154753,16.8,0,13.235,10.566666666666666,,1,0.0,0.4503,0.0,2037.0,1843.5,1819.416667,1846.75,1848.25,1814.0,1862.333333,1916.083333,1926.0,1775.916667,1752.666667,1697.583333,1617.666667,1586.666667,1575.0,1535.25,1451.166667,1455.916667,1425.166667,1160.5,1114.583333,35061.41666800001
Marin,137681.55,936.0,0.0,6131.0,11915.0,514.5614771296684,122.0,38.94250944187999,339.0,8078.0,41.96583312701165,17.0,42.51052240653625,2645.0,5.3,0.6,0.46,19.5461701146501,7.5,,,1,2.2,257.2,0,62.7,0,261669,9.9,0,12.215,3.575,0.5315,0,0.0,0.5234,0.0,913.0833333,839.5833333,781.4166667,825.5,847.6666667,825.75,893.75,960.9166667,905.4166667,833.1666667,811.75,829.3333333,807.5833333,779.4166667,764.3333333,739.9166667,726.25,698.75,701.8333333,599.5,510.8333333,16595.750000000004
Mariposa,1547.72,34.0,0.0,123.0,634.0,194.006309148265,6.0,30.283911671924287,,462.0,,,27.92207792207792,160.0,1.3,0.42,0.29,32.0517916974275,0.0,0.0,0.0,0,,182.4,0,49.8,1,18088,11.1,1,32.72,7.274999999999999,0.4612,0,1.0,,1.0,102.1666667,88.16666667,89.66666667,80.25,84.91666667,87.58333333,82.33333333,84.25,88.16666667,87.66666667,86.5,73.33333333,82.66666667,79.25,85.91666667,91.16666667,78.33333333,80.33333333,79.08333333,80.08333333,64.83333333,1756.6666667
