,county,abortion_medicaid_expenditures,abortion_rs_count_total,daycare_slots_child_facility_capacity,daycare_slots_child_total_pop,daycare_slots_child_rate_slots,daycare_slots_child_num_facility,daycare_slots_child_pct_nonwhite,daycare_slots_infant_facility_capacity,daycare_slots_infant_total_pop,daycare_slots_infant_rate_slots,daycare_slots_infant_num_facility,daycare_slots_infant_pct_nonwhite,graduation_2019_cohort_size,dropout_rate_2019_cohort,ecigs_sold_pct_tobacco_stores_2016,povr_whole_total_estimate,adolescent_birth_abr,asthma_number_of_deaths,asthma_age_adjusted_mortality_rate,asthma_surpressed,infant_mortality_rate,std_chlamydia_rate,std_gonorrhea_rate,std_population,std_syphilis_rate,sui_adjusted_rate_avg,unemployment_rate,medicaid_sum_0_20,gini_coef,dropout_sqrt,dropout_quar_rt,dropout_3rd_rt,dropout_not_zero,dropout_log
16,Lassen,1405.71,98.0,344,1255,274.10358565737056,11,29.482071713147405,22.0,990,22.222222222222225,2.0,33.03030303030303,298,5.7,0.81,30.65626434,0.0,0.0,0.0,0,0.0,252.0,29.1,30958,3.2,22.505,7.275,3116.5,0.44875,2.3874672772626644,1.5451431251708252,1.7863159877080566,5.7001,1.7404837185462618
17,Los Angeles,6451591.05,37817.0,160580,516583,310.85033769984693,2641,83.36898426777498,9823.0,388055,25.31342206645965,430.0,83.62500161059644,120444,10.6,0.48,40.49078644,17.1,305.0,9.8,0,4.3,561.3,173.0,10179482,34.2,7.695,6.683333333333334,1556872.583,0.4992,3.255764119219941,1.804373608546728,2.196689235027742,10.6001,2.360863435035786
18,Madera,53610.21,401.0,1781,9748,182.7041444398851,50,80.17029134,70.0,7077,9.891196835,5.0,81.06542320192169,2239,12.7,0.69,50.73504439,35.7,6.0,,1,5.2,473.7,102.7,154753,16.8,13.235,10.566666666666666,35061.41666800001,0.4503,3.5637059362410923,1.8877780421016377,2.3331065539234754,12.7001,2.541609867449293
19,Marin,137681.55,936.0,6131,11915,514.5614771296684,122,38.94250944187999,339.0,8078,41.96583312701165,17.0,42.51052240653625,2645,5.3,0.6,19.54617011,7.5,,,1,2.2,257.2,62.7,261669,9.9,12.215,3.575,16595.750000000004,0.5315,2.3021728866442674,1.5172912992053529,1.7435134012651283,5.3001,1.6677256883046074
20,Mariposa,1547.72,34.0,123,634,194.0063091,6,30.283911671924287,,462,,,27.92207792207792,160,1.3,0.42,32.0517917,0.0,0.0,0.0,0,0.0,182.4,49.8,18088,11.1,32.72,7.274999999999999,1756.666667,0.4612,1.140175425099138,1.0677899723724409,1.091392883061106,1.3001,0.262441185
21,Mendocino,53800.14,675.0,1226,4299,285.1826006047919,37,53.84973249592929,36.0,3178,11.32787916928886,3.0,53.39836375078668,1018,11.5,0.63,44.38668713,24.7,,,1,9.4,433.9,103.1,88264,9.1,22.615,5.866666666666667,16427.083333300005,0.4966,3.391164991562634,1.8415116050578213,2.2571787177370006,11.5001,2.4423557309835715
22,Merced,26036.33,661.0,3285,18077,181.7226309675278,76,81.42390883443049,259.0,12994,19.93227643527782,16.0,81.40680313991075,4554,7.2,0.54,54.63989457,29.4,16.0,21.6,0,4.0,415.4,125.2,269870,9.6,10.4205,11.433333333333332,66593.91666,0.4653,2.683281572999748,1.638072518,1.9309787692112597,7.2001,1.9740949148144489
23,Modoc,507.09,15.0,173,422,409.9526066350711,7,31.990521327014207,24.0,317,75.70977917981072,2.0,30.283911671924287,92,5.4,0.64,44.80708838,0.0,,,1,0.0,105.2,0.0,9510,0.0,0.0,8.658333333333333,1241.25,0.4663,2.323790008,1.5243982444638442,1.7544106429277195,5.4001,1.6864174719172815
24,Mono,284.8,11.0,184,708,259.88700564971754,7,55.64971751412431,52.0,533,97.56097561,3.0,57.22326454033775,310,31.3,0.41,33.85579937,0.0,,,1,0.0,231.2,14.5,13841,14.5,0.0,6.2,1685.9166666699998,0.4612,5.594640292279746,2.365299197201011,3.151481624322064,31.3001,3.443621292429183
25,Monterey,160011.2,1162.0,5455,26146,208.63612024783905,126,84.15818863306048,357.0,19529,18.280505914281324,20.0,84.55630089,5651,11.5,0.52,42.32052524,28.1,19.0,14.2,0,5.3,410.9,70.1,435342,12.9,9.1435,8.258333333333333,88668.58333,0.4598,3.391164991562634,1.8415116050578213,2.2571787177370006,11.5001,2.4423557309835715
