county,abortion_medicaid_expenditures,abortion_rs_count_total,abortion_rs_count_total_suppressed,daycare_slots_child_facility_capacity,daycare_slots_child_total_pop,daycare_slots_child_rate_slots,daycare_slots_child_num_facility,daycare_slots_child_pct_nonwhite,daycare_slots_infant_facility_capacity,daycare_slots_infant_total_pop,daycare_slots_infant_rate_slots,daycare_slots_infant_num_facility,daycare_slots_infant_pct_nonwhite,graduation_2019_cohort_size,dropout_rate_2019_cohort,ecigs_sold_pct_tobacco_stores_2016,ecigs_sold_pct_tobacco_stores_2013,povr_whole_total_estimate,adolescent_birth_abr,asthma_number_of_deaths,asthma_age_adjusted_mortality_rate,asthma_surpressed,infant_mortality_rate,std_chlamydia_rate,std_chlamydia_supressed,std_gonorrhea_rate,std_gonorrhea_supressed,std_population,std_syphilis_rate,std_syphilis_supressed,sui_adjusted_rate_avg,unemployment_rate,medicaid_sum_0_20,gini_coef,dropout_sqrt,dropout_quar_rt,dropout_3rd_rt,dropout_not_zero,dropout_log
Alameda,400818.06,3932.0,0.0,30404.0,78508.0,387.2726346359608,528.0,78.64166709125186,2252.0,58612.0,38.422166109329154,98.0,78.78762028253601,17303.0,7.7,0.7,0.54,27.4271122936612,9.7,58.0,11.2,0,4.0,497.7,0,172.9,0,1621005,17.1,0,8.665500000000002,4.775,161534.166667,0.463,2.7748873851023217,1.665799323178612,1.9746808222123668,7.7001,2.0412333157882947
Amador,268.49,24.0,0.0,320.0,1202.0,266.22296173044924,14.0,28.785357737104825,24.0,834.0,28.7769784172662,2.0,28.05755395683453,306.0,5.2,0.6,0.3,28.1863267106824,0.0,0.0,0.0,0,0.0,176.9,0,48.2,0,37313,8.0,1,24.075,6.641666666666667,3087.33333337,0.4612,2.280350850198276,1.5100830606950983,1.7324782106818055,5.2001,1.6486778561717035
Butte,179813.97,1477.0,0.0,2984.0,9973.0,299.2078612253084,74.0,41.4418931114008,443.0,7322.0,60.50259491942092,25.0,42.024037148320126,2541.0,10.4,0.78,0.47,44.0354192240321,16.2,7.0,,1,4.5,504.5,0,140.5,0,224180,6.2,0,16.965,7.224999999999999,30933.08333099999,0.4868,3.22490309931942,1.7958015200236968,2.1827857661222114,10.4001,2.3418154214857148
Calaveras,3993.16,95.0,0.0,471.0,1673.0,281.5301852958756,18.0,25.70233114166168,52.0,1156.0,44.98269896193772,3.0,25.346020761245672,461.0,4.3,0.64,0.43,29.9473101015355,0.0,,,1,0.0,138.1,0,40.1,0,44899,11.1,1,22.93,6.441666666666667,4446.9166668,0.4612,2.073644135332772,1.44001532468678,1.6261333316791686,4.3001,1.4586382782430578
Colusa,1066.25,31.0,0.0,306.0,1506.0,203.187250996016,11.0,79.15006640106243,110.0,1097.0,100.27347310847765,4.0,80.94804010938925,346.0,5.8,0.43,0.33,42.0829005759607,0.0,,,1,0.0,269.4,0,44.9,1,22271,9.0,1,26.57,15.583333333333334,4903.3333333,0.4751,2.4083189157584592,1.5518759343963224,1.7967017791430526,5.8001,1.757875158783053
Contra Costa,860001.75,4938.0,0.0,18271.0,56056.0,325.9419152276295,320.0,67.24168688454401,1785.0,38823.0,45.97789969863225,73.0,68.89472735234268,14167.0,5.2,0.65,0.52,25.0722938360186,11.1,40.0,10.6,0,3.4,421.9,0,117.9,0,1117459,12.3,0,9.7255,5.066666666666667,112816.333333,0.4709,2.280350850198276,1.5100830606950983,1.7324782106818055,5.2001,1.6486778561717035
Del Norte,303.22,82.0,0.0,277.0,1346.0,205.79494799405643,10.0,47.17682020802376,20.0,972.0,20.5761316872428,1.0,48.86831275720165,331.0,10.0,0.75,0.5,47.1459658520254,0.0,,,1,0.0,347.1,0,125.6,0,27080,0.0,0,22.69,8.599999999999998,4556.0000002,0.4663,3.1622776601683795,1.7782794100389228,2.154434690031884,10.0001,2.302595092944046
El Dorado,11480.59,281.0,0.0,2718.0,8201.0,331.422997195464,62.0,33.55688330691379,275.0,5318.0,51.71116961263633,19.0,34.37382474614516,2208.0,4.0,0.75,0.58,25.1170937470553,8.5,7.0,,1,3.1,230.4,0,43.1,0,183147,4.4,1,16.085,5.741666666666667,14778.3333333,0.4588,2.0,1.4142135623730951,1.5874010519681994,4.0001,1.3863193608073958
Fresno,610093.3,4894.0,0.0,13564.0,63454.0,213.76114980931075,290.0,81.86087559491918,1061.0,47329.0,22.41754526822878,48.0,82.37232986118448,15407.0,9.4,0.59,0.29,50.7317441801059,29.8,39.0,14.5,0,6.8,604.3,0,178.9,0,979636,38.4,0,10.48,10.241666666666667,225607.416672,0.4711,3.0659419433511785,1.7509831362269537,2.11045429449015,9.4001,2.2407203275172445
Glenn,5855.55,115.0,0.0,305.0,1729.0,176.40254482359745,10.0,60.32388663967615,48.0,1308.0,36.697247706422026,3.0,62.46177370030582,509.0,17.3,0.58,0.49,47.3846488682531,0.0,,,1,0.0,314.2,0,86.3,0,28960,0.0,0,28.31,8.783333333333333,5786.0,0.4751,4.159326868617084,2.0394427838547187,2.5863186669446736,17.3001,2.850712281833848
Humboldt,72043.25,1048.0,0.0,1797.0,6221.0,288.86031184697,53.0,38.884423726089054,148.0,4551.0,32.52032520325202,6.0,38.69479235332893,1467.0,9.7,0.76,0.4,44.6850857268742,14.5,10.0,,1,7.3,460.6,0,177.0,0,135032,1.5,1,23.61,5.625,18846.75,0.4682,3.1144823004794873,1.7647895909936366,2.1326712355058866,9.700099999999999,2.2721361947345473
Imperial,22656.33,326.0,0.0,2659.0,10981.0,242.14552408705944,56.0,92.26846371004464,145.0,8118.0,17.86154225178616,7.0,92.79379157427938,3127.0,10.4,0.63,0.53,51.8929226869758,37.8,,,1,3.8,398.2,0,40.0,0,185072,9.7,0,7.899,24.59166666666667,39955.750001,0.4621,3.22490309931942,1.7958015200236968,2.1827857661222114,10.4001,2.3418154214857148
Inyo,1660.82,23.0,0.0,327.0,837.0,390.6810035842294,14.0,58.78136200716849,,655.0,,,57.40458015267176,812.0,48.2,0.69,0.2,31.2408512554893,0.0,0.0,0.0,0,0.0,295.1,0,21.5,1,18640,0.0,0,15.93,5.833333333333333,2305.08333333,0.43645,6.942621983083913,2.634885573053204,3.639281748553536,48.200100000000006,3.8753610957431994
Kern,373915.27,4243.0,0.0,10807.0,57922.0,186.5785021235455,188.0,74.90418148544595,578.0,43784.0,13.201169376941344,31.0,75.41110908094282,14224.0,8.0,0.62,0.42,48.1563215855598,35.6,22.0,9.3,0,6.1,692.5,0,174.9,0,883494,28.6,0,13.57,10.283333333333331,190417.41667,0.4609,2.8284271247461903,1.681792830507429,2.0,8.0001,2.0794540416017115
Kings,12667.67,234.0,0.0,1731.0,10207.0,169.5894974037425,42.0,76.18301165866563,65.0,7782.0,8.352608583911591,4.0,75.93163711128243,2293.0,7.5,0.66,0.22,49.3584848599403,32.0,6.0,,1,4.7,395.8,0,112.8,0,149832,26.7,0,11.105,10.575,27934.7500003,0.4391,2.7386127875258306,1.6548754598234365,1.9574338205844317,7.5001,2.01491635378671
Lake,8858.93,392.0,0.0,583.0,2959.0,197.0260223048328,20.0,45.35315985130112,78.0,2181.0,35.76341127922969,3.0,46.53828519027968,750.0,11.7,0.62,0.47,49.1764668689934,30.7,,,1,0.0,390.3,0,229.9,0,64815,6.2,1,26.62,7.633333333333334,11484.750000200002,0.48285,3.420526275297414,1.8494664839616353,2.2701886806493845,11.700099999999999,2.459597388775732
Lassen,1405.71,98.0,0.0,344.0,1255.0,274.10358565737056,11.0,29.482071713147405,22.0,990.0,22.222222222222225,2.0,33.03030303030303,298.0,5.7,0.81,0.48,30.656264341441,0.0,0.0,0.0,0,0.0,252.0,0,29.1,1,30958,3.2,1,22.505,7.275,3116.5000001,0.44875,2.3874672772626644,1.5451431251708252,1.7863159877080566,5.7001,1.7404837185462618
Los Angeles,6451591.05,37817.0,0.0,160580.0,516583.0,310.85033769984693,2641.0,83.36898426777498,9823.0,388055.0,25.31342206645965,430.0,83.62500161059644,120444.0,10.6,0.48,0.36,40.4907864379328,17.1,305.0,9.8,0,4.3,561.3,0,173.0,0,10179482,34.2,0,7.695,6.683333333333334,1556872.58334,0.4992,3.255764119219941,1.8043736085467281,2.196689235027742,10.6001,2.360863435035786
Madera,53610.21,401.0,0.0,1781.0,9748.0,182.7041444398851,50.0,80.1702913418137,70.0,7077.0,9.89119683481701,5.0,81.06542320192169,2239.0,12.7,0.69,0.32,50.7350443937703,35.7,6.0,,1,5.2,473.7,0,102.7,0,154753,16.8,0,13.235,10.566666666666666,35061.41666800001,0.4503,3.5637059362410923,1.8877780421016377,2.3331065539234754,12.700099999999999,2.5416098674492935
Marin,137681.55,936.0,0.0,6131.0,11915.0,514.5614771296684,122.0,38.94250944187999,339.0,8078.0,41.96583312701165,17.0,42.51052240653625,2645.0,5.3,0.6,0.46,19.5461701146501,7.5,,,1,2.2,257.2,0,62.7,0,261669,9.9,0,12.215,3.575,16595.750000000004,0.5315,2.3021728866442674,1.5172912992053529,1.7435134012651283,5.3001,1.6677256883046074
Mariposa,1547.72,34.0,0.0,123.0,634.0,194.006309148265,6.0,30.283911671924287,,462.0,,,27.92207792207792,160.0,1.3,0.42,0.29,32.0517916974275,0.0,0.0,0.0,0,0.0,182.4,0,49.8,1,18088,11.1,1,32.72,7.274999999999999,1756.6666667,0.4612,1.140175425099138,1.0677899723724409,1.091392883061106,1.3001,0.262441184585986
